timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1667064867.071,348.633,-199.219,-83.496,331.543,6957.958
1667064867.074,198.242,52.246,-80.566,119.629,6957.962
1667064867.078,-287.109,-553.223,-210.449,-262.207,6957.966
1667064867.082,-245.605,-838.379,-228.027,-123.047,6957.970
1667064867.086,265.137,-126.953,-65.918,295.410,6957.974
1667064867.090,310.059,228.516,-111.328,238.281,6957.978
1667064867.091,-193.848,-519.043,-277.832,-195.801,6957.977
1667064867.095,-339.844,-903.320,-186.035,-236.816,6957.981
1667064867.099,141.113,-152.832,5.371,193.848,6957.985
1667064867.103,385.254,276.855,-23.438,318.848,6957.989
1667064867.107,-53.711,-427.246,-211.426,-79.102,6957.993
1667064867.111,-378.418,-1000.000,-284.180,-266.602,6957.996
1667064867.115,-10.742,-611.328,-189.453,91.309,6958.000
1667064867.118,384.277,-220.703,-166.992,357.910,6958.004
1667064867.122,85.938,-583.008,-269.531,37.109,6958.008
1667064867.126,-367.188,-1000.000,-256.348,-278.320,6958.012
1667064867.130,-153.809,-692.383,57.617,-40.039,6958.016
1667064867.134,363.281,126.953,115.234,336.914,6958.020
1667064867.136,230.469,-70.801,-94.727,163.574,6958.023
1667064867.140,-270.508,-494.629,-189.453,-241.699,6958.027
1667064867.144,-253.418,-313.965,-192.383,-155.273,6958.031
1667064867.148,244.629,-44.922,-194.824,270.508,6958.034
1667064867.152,331.055,-338.867,-185.547,267.578,6958.038
1667064867.156,-152.344,-830.566,-110.840,-167.480,6958.042
1667064867.160,-333.496,-787.109,-29.785,-242.676,6958.046
1667064867.163,118.164,-260.742,-32.227,176.270,6958.050
1667064867.167,378.906,-511.230,-171.875,332.031,6958.054
1667064867.171,-26.367,-649.414,-109.863,-76.660,6958.058
1667064867.175,-359.863,-437.500,-112.793,-313.965,6958.062
1667064867.179,-36.133,-515.625,-160.156,32.715,6958.066
1667064867.181,375.000,-189.453,-119.629,342.285,6958.067
1667064867.185,112.793,-74.707,-167.969,53.223,6958.071
1667064867.189,-345.215,-430.664,-206.055,-302.734,6958.075
1667064867.193,-185.547,-553.711,-141.113,-96.680,6958.079
1667064867.197,316.406,-169.922,13.184,302.734,6958.082
1667064867.201,238.770,-210.938,37.109,160.645,6958.086
1667064867.205,-265.625,-829.590,24.414,-266.113,6958.090
1667064867.208,-300.293,-973.633,22.949,-215.332,6958.094
1667064867.212,189.453,-1000.000,-88.867,237.793,6958.098
1667064867.216,338.379,-670.410,-62.500,268.555,6958.102
1667064867.220,-129.395,-335.449,-154.297,-184.570,6958.106
1667064867.224,-366.699,-689.453,-166.504,-305.664,6958.110
1667064867.226,69.336,-241.699,-14.648,101.074,6958.112
1667064867.230,401.855,310.547,-144.531,312.500,6958.116
1667064867.234,32.227,-178.711,-286.621,-47.852,6958.120
1667064867.238,-368.164,-750.000,-189.941,-313.965,6958.124
1667064867.242,-83.008,-359.863,-61.035,-9.277,6958.128
1667064867.246,375.488,-41.016,-146.484,333.496,6958.131
1667064867.250,159.668,-426.270,-259.277,81.055,6958.135
1667064867.253,-327.637,-875.977,-290.527,-298.828,6958.139
1667064867.257,-227.539,-797.852,-154.297,-133.301,6958.143
1667064867.261,291.504,-93.750,-96.191,284.180,6958.147
1667064867.265,286.621,-59.570,-333.984,201.172,6958.151
1667064867.269,-234.863,-757.324,-393.555,-242.188,6958.155
1667064867.271,-348.145,-589.355,-183.105,-257.324,6958.157
1667064867.275,144.043,38.086,-172.852,176.758,6958.161
1667064867.279,338.379,-20.020,-333.984,267.090,6958.165
1667064867.283,-116.211,-556.152,-387.695,-154.297,6958.168
1667064867.287,-385.254,-561.035,-312.500,-309.570,6958.172
1667064867.291,2.441,-372.070,-207.031,79.102,6958.176
1667064867.295,355.469,-557.617,-214.844,326.172,6958.180
1667064867.298,16.602,-975.098,-240.723,-7.812,6958.184
1667064867.302,-376.953,-726.562,-49.316,-321.289,6958.188
1667064867.306,-117.676,-196.289,20.996,-41.016,6958.192
1667064867.310,348.633,-70.801,-21.484,337.891,6958.196
1667064867.314,181.641,-413.086,-47.363,108.398,6958.200
1667064867.316,-304.199,-549.316,10.742,-309.082,6958.216
1667064867.320,-254.883,-369.629,35.645,-180.664,6958.220
1667064867.324,229.492,-365.234,29.785,254.395,6958.224
1667064867.328,280.762,-281.738,-16.602,206.543,6958.228
1667064867.332,-187.988,-366.699,-114.258,-224.121,6958.231
1667064867.336,-336.426,-759.277,-149.414,-263.184,6958.235
1667064867.340,98.633,-841.309,-144.531,158.691,6958.239
1667064867.343,327.637,-334.473,-103.516,278.809,6958.243
1667064867.347,-57.129,-169.434,-105.469,-119.141,6958.247
1667064867.351,-209.961,-586.426,-35.156,-207.520,6958.251
1667064867.355,234.375,-307.129,97.656,217.773,6958.255
1667064867.359,535.156,290.039,87.402,430.176,6958.259
1667064867.361,193.848,115.723,-39.062,75.684,6958.261
1667064867.365,-273.438,-658.203,-156.250,-262.207,6958.265
1667064867.369,-117.676,-751.465,-99.609,-35.156,6958.269
1667064867.373,364.258,88.867,5.371,325.195,6958.273
1667064867.377,266.113,64.453,-97.168,152.344,6958.277
1667064867.381,-248.047,-761.719,-280.762,-244.141,6958.281
1667064867.385,-279.297,-948.730,-265.625,-167.480,6958.285
1667064867.388,211.914,-449.219,-139.648,247.559,6958.289
1667064867.392,328.613,-171.387,-183.105,242.676,6958.293
1667064867.396,-145.020,-658.203,-294.922,-181.641,6958.296
1667064867.400,-355.469,-901.855,-141.113,-268.555,6958.300
1667064867.404,74.219,-133.301,65.918,123.047,6958.304
1667064867.421,360.840,203.613,-27.344,295.410,6958.307
1667064867.425,-22.461,-388.672,-75.684,-84.473,6958.311
1667064867.429,-385.254,-647.949,-52.246,-337.891,6958.315
1667064867.433,-101.562,-221.680,-23.926,-29.785,6958.319
1667064867.437,287.598,-94.238,-106.445,270.996,6958.323
1667064867.441,-19.043,-697.754,-279.785,-33.691,6958.327
1667064867.445,-510.742,-1000.000,-231.934,-421.875,6958.331
1667064867.448,-322.266,-556.152,-62.500,-192.871,6958.335
1667064867.452,218.262,-136.719,-54.688,248.047,6958.339
1667064867.456,187.500,-634.277,-83.496,142.578,6958.343
1667064867.460,-282.227,-761.719,3.906,-274.414,6958.346
1667064867.464,-312.500,-385.742,89.355,-227.051,6958.350
