timestamps,TP9,AF7,AF8,TP10
1628630585.473,-23.438,-380.859,-40.039,-30.273
1628630585.491,-34.180,-544.922,-35.645,-34.668
1628630585.495,-21.484,-395.996,-40.039,0.488
1628630585.499,-12.695,-127.930,-53.711,10.254
1628630585.503,-24.902,-497.559,-42.480,-29.297
1628630585.507,-33.691,-757.324,-30.273,-49.805
1628630585.511,-28.320,-405.273,-32.227,-16.602
1628630585.514,-20.508,-292.480,-38.086,-0.488
1628630585.518,-22.461,-730.469,-37.109,-26.367
1628630585.522,-33.691,-779.297,-26.855,-47.363
1628630585.526,-31.250,-163.574,-21.973,-32.227
1628630585.530,-26.367,-194.824,-33.691,-4.395
1628630585.534,-25.879,-770.020,-52.246,-14.160
1628630585.524,-35.156,-562.988,-46.875,-46.875
1628630585.528,-36.621,-141.113,-39.062,-44.434
1628630585.532,-5.859,-138.672,-37.109,-13.184
1628630585.536,4.395,-277.344,-35.156,-15.625
1628630585.540,-19.043,-309.082,-45.410,-48.828
1628630585.544,-34.668,-481.445,-44.434,-55.176
1628630585.547,-35.156,-530.762,-28.809,-24.902
1628630585.551,-28.320,-461.426,-27.344,-15.625
1628630585.555,-34.180,-320.801,-34.180,-49.316
1628630585.559,-43.457,-228.027,-46.387,-63.965
1628630585.563,-27.344,-436.035,-43.457,-24.902
1628630585.567,-10.742,-732.422,-28.320,9.766
1628630585.581,-26.855,-501.953,-29.785,-30.273
1628630585.585,-53.223,-593.750,-41.016,-59.570
1628630585.589,-53.711,-791.504,-45.410,-38.086
1628630585.593,-34.180,-344.727,-41.504,-8.789
1628630585.597,-32.227,-111.816,-48.340,-18.066
1628630585.601,-35.645,-607.422,-56.152,-45.898
1628630585.604,-31.738,-950.684,-47.852,-42.480
1628630585.608,-28.320,-1000.000,-36.133,-7.812
1628630585.612,-28.809,-473.633,-29.785,-5.371
1628630585.616,-35.156,-270.508,-33.203,-33.203
1628630585.620,-36.621,-652.344,-43.945,-29.785
1628630585.624,-21.484,-244.141,-37.109,2.930
1628630585.610,-8.789,138.184,-30.273,19.043
1628630585.614,-19.531,-196.289,-29.297,-20.020
1628630585.618,-31.250,-546.387,-29.297,-51.270
1628630585.622,-15.137,-402.832,-30.273,-14.160
1628630585.626,9.277,-180.664,-25.391,23.926
1628630585.630,-9.277,-444.336,-33.691,-4.883
