timestamps,TP9,AF7,AF8,TP10
1628438834.553,20.508,360.840,-60.059,-2.441
1628438834.557,15.137,8.789,-56.641,7.324
1628438834.561,26.367,-4.883,-53.223,48.828
1628438834.565,32.227,473.145,-60.547,51.270
1628438834.569,-11.230,395.996,-66.406,5.371
1628438834.573,-34.668,-301.270,-67.383,-0.977
1628438834.577,11.719,-384.277,-62.500,43.945
1628438834.580,26.367,417.480,-67.871,52.246
1628438834.584,-22.461,518.066,-66.406,0.977
1628438834.588,-35.645,-30.762,-43.945,-16.602
1628438834.592,0.000,-164.062,-52.246,15.137
1628438834.596,35.645,254.395,-62.012,37.109
1628438834.612,27.344,508.789,-60.059,10.742
1628438834.616,-2.441,-282.227,-49.316,-16.602
1628438834.620,9.766,-490.234,-32.227,19.043
1628438834.624,19.531,305.176,-46.387,42.969
1628438834.628,-0.977,251.465,-71.289,4.395
1628438834.632,-14.648,-550.293,-68.359,-26.367
1628438834.636,-21.973,-700.684,-52.734,-23.438
1628438834.639,2.441,376.465,-56.641,12.695
1628438834.643,17.090,532.227,-58.105,23.438
1628438834.647,-13.184,24.902,-43.457,-15.625
1628438834.651,-28.320,44.434,-48.340,-19.043
1628438834.655,-2.930,457.520,-51.758,21.973
1628438834.657,22.949,414.062,-50.781,35.156
1628438834.661,-2.441,29.297,-61.035,-7.324
1628438834.665,-33.691,76.660,-59.570,-44.922
1628438834.669,-24.902,355.469,-54.199,-17.090
1628438834.673,8.301,390.625,-55.664,17.578
1628438834.677,0.488,-85.938,-52.246,-11.230
1628438834.681,-42.969,-402.832,-54.688,-46.387
1628438834.684,-27.344,-52.246,-43.457,-26.855
1628438834.688,0.977,93.750,-34.180,15.137
1628438834.692,-14.648,-671.387,-59.570,-10.254
1628438834.696,-32.227,-591.797,-56.641,-58.105
1628438834.700,-26.855,-83.984,-47.852,-46.387
1628438834.702,-8.301,-267.578,-68.359,-1.465
1628438834.706,11.230,-186.523,-63.477,-4.395
1628438834.710,8.301,323.242,-47.852,-48.828
1628438834.714,-16.602,199.707,-50.781,-57.617
1628438834.718,-17.578,139.160,-55.664,-21.484
1628438834.722,10.254,151.855,-39.062,7.812
1628438834.726,-1.953,0.000,-35.645,-21.973
1628438834.729,-37.109,72.266,-47.852,-52.734
1628438834.733,-34.180,-475.586,-45.898,-26.367
1628438834.737,-12.207,-409.668,-38.574,6.348
1628438834.741,-9.766,452.637,-44.434,-24.902
1628438834.745,-37.598,155.273,-46.387,-61.035
1628438834.747,-59.570,-288.574,-44.922,-50.293
1628438834.751,-15.625,209.473,-47.852,-21.973
1628438834.755,7.324,628.906,-55.176,-28.809
1628438834.759,-34.668,100.586,-48.340,-62.988
1628438834.763,-56.641,-177.734,-32.227,-57.617
1628438834.767,-31.738,-26.367,-39.551,-20.020
1628438834.771,-6.348,242.188,-57.129,-7.324
1628438834.774,-7.812,-43.457,-44.922,-34.668
1628438834.778,-33.691,-703.125,-34.668,-54.199
1628438834.782,-32.715,36.133,-38.086,-46.875
1628438834.786,-11.230,450.195,-33.691,-15.625
1628438834.790,-40.527,-396.484,-38.086,-19.531
1628438834.793,-83.008,-809.570,-43.945,-48.828
1628438834.797,-70.312,44.434,-39.062,-38.086
1628438834.801,-23.438,555.664,-41.016,-11.230
1628438834.805,-16.113,204.590,-46.387,-30.273
1628438834.809,-40.527,-32.227,-35.645,-50.293
1628438834.813,-37.598,-122.070,-24.902,-30.273
1628438834.817,-10.742,111.328,-33.691,11.719
1628438834.820,-12.207,-272.461,-39.551,-3.418
1628438834.824,-35.156,-590.332,-32.227,-58.594
1628438834.828,-36.621,134.277,-36.621,-60.547
1628438834.832,-2.930,279.297,-42.969,-6.348
1628438834.836,34.180,188.965,-44.922,23.926
1628438834.838,21.484,211.914,-44.434,-3.418
1628438834.842,0.488,97.168,-32.715,-13.672
1628438834.846,28.320,-162.598,-23.926,26.367
1628438834.850,61.035,-137.695,-35.156,61.523
1628438834.854,45.898,124.512,-42.480,40.527
1628438834.858,16.602,-196.289,-41.992,22.461
1628438834.862,20.508,-570.801,-47.363,45.898
1628438834.865,57.617,-544.434,-42.480,79.102
1628438834.869,63.477,-1.465,-35.645,65.430
1628438834.873,39.551,246.582,-33.691,20.996
1628438834.877,30.762,-267.578,-28.320,20.508
1628438834.881,43.945,-239.746,-20.020,64.941
1628438834.882,48.828,370.117,-17.578,67.871
1628438834.886,26.367,289.062,-18.555,25.391
1628438834.890,13.672,-386.719,-20.508,14.648
1628438834.894,34.668,-244.629,-19.531,55.664
1628438834.898,50.293,284.180,-23.438,64.941
1628438834.902,42.969,-91.309,-27.344,23.926
1628438834.906,14.648,-748.535,-29.297,7.812
1628438834.909,10.742,-687.988,-18.066,35.156
1628438834.913,29.785,291.016,-11.719,49.805
1628438834.917,37.109,304.199,-18.066,14.648
1628438834.921,21.484,-208.984,-20.996,-18.066
1628438834.925,17.090,-105.957,-26.367,-2.441
1628438834.927,34.180,436.035,-24.902,40.039
1628438834.931,26.855,225.586,-38.574,38.086
1628438834.935,7.324,-273.926,-39.551,3.418
1628438834.939,-18.066,-102.539,-34.668,-8.301
1628438834.943,-1.953,280.762,-36.133,19.043
1628438834.947,34.668,-12.695,-33.691,44.434
1628438834.951,17.578,-637.695,-26.855,8.789
1628438834.954,-3.906,-435.547,-20.020,-22.949
1628438834.958,12.207,209.961,-23.926,-0.977
1628438834.962,41.016,100.098,-20.508,34.668
1628438834.966,20.996,-664.062,-21.484,9.766
1628438834.970,4.395,-443.359,-19.531,-30.273
1628438834.987,12.207,209.473,-16.602,-5.371
1628438834.991,28.320,-80.566,-30.273,27.832
1628438834.995,20.020,-383.789,-32.715,7.324
1628438834.999,-33.691,77.148,-25.391,-35.156
1628438835.003,-28.809,91.309,-33.203,-22.949
1628438835.007,17.090,-49.805,-38.086,22.461
1628438835.011,22.461,16.602,-38.086,7.812
1628438835.014,3.418,141.602,-37.109,-37.598
1628438835.018,-14.648,9.277,-37.598,-42.969
1628438835.022,4.883,-454.102,-42.480,1.953
1628438835.026,33.691,-254.395,-35.645,18.555
1628438835.030,-5.859,232.910,-38.086,-27.344
1628438835.032,-77.148,-103.516,-51.270,-43.945
1628438835.036,-64.453,-336.426,-38.574,-12.695
1628438835.040,-7.812,190.430,-35.645,12.695
1628438835.044,-30.273,411.133,-46.875,-19.043
1628438835.048,-56.641,-101.562,-36.133,-46.875
1628438835.052,-35.156,-410.645,-30.762,-18.555
1628438835.056,1.465,-2.441,-26.367,13.184
1628438835.059,6.348,384.277,-25.391,-4.883
1628438835.063,-40.039,-241.699,-33.691,-49.316
1628438835.067,-54.199,-708.984,-26.855,-41.016
1628438835.071,0.000,-72.754,-24.902,-10.254
1628438835.075,20.996,120.117,-40.039,-18.555
1628438835.077,-17.090,-505.859,-40.527,-52.734
1628438835.081,-36.133,-808.105,-33.691,-64.941
1628438835.085,-15.137,125.488,-24.414,-36.133
1628438835.089,6.836,577.148,-21.973,-15.625
1628438835.093,-9.766,86.914,-35.156,-47.852
1628438835.097,-51.270,-370.117,-38.086,-61.035
1628438835.101,-47.852,-116.211,-28.320,-28.809
1628438835.104,-11.230,449.707,-20.020,7.812
1628438835.108,-19.043,-274.902,-19.043,-4.395
1628438835.112,-46.387,-628.906,-25.879,-40.039
1628438835.116,-41.992,214.355,-23.926,-28.809
1628438835.120,-6.836,426.270,-23.926,10.742
1628438835.123,-8.301,192.383,-33.203,-2.441
1628438835.127,-47.852,107.422,-34.180,-45.898
1628438835.131,-48.828,135.742,-41.992,-46.875
1628438835.135,-14.160,19.531,-37.598,5.371
1628438835.139,-3.906,-154.297,-32.715,18.555
1628438835.143,-21.484,-257.812,-33.691,-30.273
1628438835.147,-24.902,-312.988,-22.949,-43.945
1628438835.150,-5.371,-380.371,-16.602,-2.441
1628438835.154,16.602,-222.656,-21.973,20.508
1628438835.158,4.395,231.934,-31.250,-11.230
1628438835.162,-36.133,41.504,-38.086,-41.504
1628438835.166,-32.715,-540.039,-30.762,-12.695
1628438835.167,-0.977,-619.629,-19.043,23.926
1628438835.171,-10.254,107.910,-27.344,-8.789
1628438835.175,-41.016,190.430,-42.480,-45.898
1628438835.179,-45.410,-36.621,-39.551,-33.691
1628438835.183,-11.230,244.141,-21.973,3.906
1628438835.187,0.977,174.316,-35.156,8.301
1628438835.191,-33.691,-185.547,-49.805,-38.086
1628438835.194,-44.922,-760.254,-24.414,-47.363
1628438835.198,-11.230,-609.375,-20.020,-4.395
1628438835.202,2.441,381.836,-30.273,-4.395
1628438835.206,-10.742,205.078,-19.531,-40.039
1628438835.210,-8.301,-144.531,-16.113,-53.223
1628438835.212,3.418,227.051,-17.578,-33.691
1628438835.216,23.438,639.648,-18.555,-1.465
