,timestamps,emg_signal
6828,1693699562.4241886,526
6829,1693699562.4399016,526
6830,1693699562.4561012,528
6831,1693699562.4593742,530
6832,1693699562.476497,530
6833,1693699562.4921262,530
6834,1693699562.505123,531
6835,1693699562.521705,532
6836,1693699562.5395296,534
6837,1693699562.5501778,535
6838,1693699562.5542448,535
6839,1693699562.5712495,535
6840,1693699562.5870016,536
6841,1693699562.605204,538
6842,1693699562.605204,539
6843,1693699562.622428,540
6844,1693699562.6490123,540
6845,1693699562.6568725,540
6846,1693699562.6720643,540
6847,1693699562.680191,542
6848,1693699562.6973684,543
6849,1693699562.7054589,543
6850,1693699562.721169,543
6851,1693699562.7368033,544
6852,1693699562.7537072,546
6853,1693699562.7707856,548
6854,1693699562.7707856,549
