,timestamps,emg_signal
0,1693699618.89,564.4177017311725
1,1693699618.89,563.425303029506
2,1693699618.92,552.295529570181
3,1693699618.92,557.2244385778263
4,1693699618.94,557.1896555568484
5,1693699618.96,551.1313339541084
6,1693699618.97,561.991166424495
7,1693699618.98,551.5234963863093
8,1693699619.0,550.9351155241959
9,1693699619.02,559.7720654188665
10,1693699619.03,561.8926375925968
11,1693699619.03,562.2616283408682
12,1693699619.06,561.0443596028111
13,1693699619.07,565.0262951580582
14,1693699619.08,579.6839933238028
15,1693699619.1,569.2262987791054
16,1693699619.11,562.8736142267255
17,1693699619.12,564.9752243188756
18,1693699619.14,556.1060189105475
19,1693699619.15,545.3391212113869
20,1693699619.16,530.861155413418
21,1693699619.16,548.6520101580583
22,1693699619.18,528.6412203021227
23,1693699619.2,516.0413516675133
24,1693699619.22,513.928213510776
25,1693699619.22,519.5867998646506
26,1693699619.24,510.68391512653244
27,1693699619.26,517.3214443003183
28,1693699619.26,513.098751927159
29,1693699619.28,519.3026769766107
30,1693699619.29,516.0114326810253
31,1693699619.31,513.4456640677259
32,1693699619.33,524.604549470687
33,1693699619.34,527.0272044218428
34,1693699619.36,527.518023690753
35,1693699619.37,529.3265958111972
36,1693699619.38,531.4167210649156
37,1693699619.4,545.4372343667189
38,1693699619.41,538.5729627529142
39,1693699619.43,537.0054966187714
40,1693699619.44,543.2547057730948
41,1693699619.45,547.6637466008094
