timestamps,emg_signal
1685906243.904707,313
1685906243.9167,313
1685906243.9327004,310
1685906243.9447114,307
1685906243.9573689,307
1685906243.9742663,310
1685906243.9864979,313
1685906243.9986148,313
1685906244.015169,309
1685906244.027164,307
1685906244.0391684,307
1685906244.0561993,310
1685906244.0687885,313
1685906244.0840502,311
1685906244.097109,307
1685906244.1088333,305
1685906244.1258452,307
1685906244.13785,311
1685906244.1507182,312
1685906244.1663966,309
1685906244.1792088,306
1685906244.1914604,305
1685906244.2074542,307
1685906244.2202122,311
1685906244.2322571,311
1685906244.248257,308
1685906244.2602572,305
1685906244.277262,304
1685906244.2895055,307
1685906244.3015428,309
1685906244.3183901,307
1685906244.3300316,303
1685906244.342889,300
1685906244.3589747,301
1685906244.3714578,304
1685906244.3834536,306
1685906244.4004004,305
1685906244.4127293,302
1685906244.4284358,301
1685906244.4412591,303
1685906244.4536471,306
1685906244.4698024,308
1685906244.4818866,306
1685906244.494271,303
1685906244.5109253,302
1685906244.5229497,305
1685906244.5355716,309
1685906244.5517287,309
1685906244.5639591,306
1685906244.5758767,303
1685906244.5932221,303
1685906244.6042714,307
1685906244.6212268,310
1685906244.6332092,309
1685906244.645209,306
1685906244.662215,303
1685906244.6742065,304
1685906244.6865213,308
1685906244.7032132,310
1685906244.7149186,309
1685906244.727925,305
1685906244.743923,303
1685906244.7559245,305
1685906244.7721407,308
1685906244.7851453,310
1685906244.797199,307
1685906244.813938,303
1685906244.8259287,302
1685906244.837934,305
1685906244.8545504,308
1685906244.8665504,309
1685906244.8789003,306
1685906244.8958993,303
1685906244.9078932,303
1685906244.9238946,306
1685906244.9367545,309
1685906244.94903,308
1685906244.965032,304
1685906244.9773877,302
1685906244.9896617,304
1685906245.0063016,307
1685906245.0185058,310
1685906245.0304782,309
1685906245.047209,305
1685906245.059378,304
1685906245.0717022,306
1685906245.0883374,310
1685906245.1003158,311
1685906245.1163042,309
1685906245.12949,305
1685906245.1412137,304
1685906245.1578312,307
1685906245.169828,310
1685906245.1818302,311
1685906245.1988285,308
1685906245.2108266,305
1685906245.2228305,305
1685906245.2389622,308
1685906245.251965,311
1685906245.2679648,310
1685906245.280986,307
1685906245.2929983,305
1685906245.3089619,306
1685906245.3210452,309
1685906245.3334527,311
1685906245.3502724,310
1685906245.3619282,306
1685906245.3749015,305
1685906245.390933,306
1685906245.403514,310
1685906245.4159677,311
1685906245.4324465,309
1685906245.4444687,305
1685906245.4605188,305
1685906245.472845,307
1685906245.4856231,311
1685906245.5018241,311
1685906245.5138166,308
1685906245.5267355,305
1685906245.542133,305
1685906245.5548136,308
1685906245.567248,311
1685906245.5837574,310
1685906245.595384,307
1685906245.6120753,305
1685906245.6244848,306
1685906245.6371267,309
1685906245.6536424,311
1685906245.666194,310
1685906245.6782105,306
1685906245.6941993,305
1685906245.706742,307
1685906245.7191865,310
1685906245.7355664,312
1685906245.7474687,310
1685906245.7596166,306
1685906245.776262,305
1685906245.788256,308
1685906245.805266,311
1685906245.816723,311
1685906245.829225,308
1685906245.846037,305
1685906245.85753,305
1685906245.870699,309
1685906245.887251,312
1685906245.8987405,311
1685906245.911629,307
1685906245.9279356,305
1685906245.9402876,306
1685906245.9566565,310
1685906245.9689066,312
1685906245.9808974,310
1685906245.997545,307
1685906246.0096858,305
1685906246.021703,307
1685906246.0379658,310
1685906246.0503612,312
1685906246.0628223,310
1685906246.0794456,306
1685906246.0917027,306
1685906246.1071403,309
1685906246.1202428,313
1685906246.132662,314
1685906246.1486382,310
1685906246.1614442,307
1685906246.1734378,307
1685906246.1894336,311
1685906246.2024412,318
1685906246.2144384,318
1685906246.230726,325
1685906246.242821,354
1685906246.2547386,383
1685906246.2721355,405
1685906246.2845163,417
1685906246.300507,417
1685906246.3124385,409
1685906246.3252366,398
1685906246.3413036,389
1685906246.3540363,382
1685906246.365987,373
1685906246.382047,359
1685906246.3939981,343
1685906246.4070044,331
1685906246.4230347,325
1685906246.435492,321
1685906246.4523525,314
1685906246.4642818,303
1685906246.4768252,293
1685906246.4932373,287
1685906246.5050628,288
1685906246.517689,288
1685906246.5342262,285
1685906246.5462282,279
1685906246.5588863,273
1685906246.5748796,274
1685906246.5868819,278
1685906246.5994663,280
1685906246.61589,278
1685906246.6278853,273
1685906246.644542,270
1685906246.6565564,273
1685906246.6691697,279
1685906246.684968,281
1685906246.6976495,279
1685906246.7101965,274
1685906246.7264338,274
1685906246.738492,279
1685906246.7514172,284
1685906246.7675493,286
1685906246.7793496,283
1685906246.795937,279
1685906246.8078198,280
1685906246.8204203,286
1685906246.8374984,291
1685906246.84958,292
1685906246.8612819,288
1685906246.8779998,285
1685906246.890327,288
1685906246.9022703,294
1685906246.9193196,298
1685906246.9322474,297
1685906246.9473474,293
1685906246.96017,291
1685906246.9726233,294
1685906246.9887865,299
1685906247.0009408,302
1685906247.0132294,300
1685906247.029557,296
1685906247.041562,295
1685906247.053565,300
1685906247.0710328,305
1685906247.0826802,307
1685906247.0947387,303
1685906247.111693,299
1685906247.123957,300
1685906247.1402192,305
1685906247.1518764,309
1685906247.16496,309
1685906247.1813464,304
1685906247.192977,301
1685906247.2057507,302
1685906247.2223856,306
1685906247.234403,309
1685906247.2459636,307
1685906247.2632506,301
1685906247.2749083,298
1685906247.2914422,300
1685906247.3041291,305
1685906247.316502,307
