,timestamps,emg_signal
0,1693452709.78,519.9967584200938
1,1693452709.79,515.8048908354784
2,1693452709.8,522.7630436271542
3,1693452709.82,524.068244103778
4,1693452709.82,525.9963194462825
5,1693452709.84,522.3620746701267
6,1693452709.86,524.3764191759014
7,1693452709.87,526.1500616335163
8,1693452709.89,526.2939285020973
9,1693452709.9,527.2822033027225
10,1693452709.92,523.5144365364729
11,1693452709.92,523.0061074790126
12,1693452709.94,527.1757414213695
13,1693452709.96,528.4271567215408
14,1693452709.97,526.9958679221396
15,1693452709.98,531.5934642483237
16,1693452709.99,537.3001371288577
17,1693452710.01,539.5252072656351
18,1693452710.03,539.6536906347892
19,1693452710.04,538.7455785171841
20,1693452710.04,537.7390821000843
21,1693452710.06,538.2718249086348
22,1693452710.07,535.2067987240928
23,1693452710.09,538.3661502050338
24,1693452710.1,534.0689339903839
25,1693452710.12,543.5956136273265
26,1693452710.13,539.4453140721595
27,1693452710.15,541.1768049940791
28,1693452710.16,533.6219597575544
29,1693452710.16,535.8867245333535
30,1693452710.19,531.3213231186838
31,1693452710.21,529.536715525914
32,1693452710.21,532.2644992822256
33,1693452710.23,530.3073873877157
34,1693452710.24,528.4647719711868
35,1693452710.26,538.0275558543341
36,1693452710.28,529.9403297423136
37,1693452710.28,534.5354108261287
38,1693452710.3,527.8563383735731
39,1693452710.31,526.9306655342026
40,1693452710.32,528.6818038310249
41,1693452710.34,522.7417966035023
