,timestamps,emg_signal
0,1693620788.71,388.4512553266259
1,1693620788.71,390.7528565847499
2,1693620788.71,396.63838054295394
3,1693620788.73,396.6032618839034
4,1693620788.73,400.1363614818369
5,1693620788.76,410.0576650771449
6,1693620788.77,404.1393775875812
7,1693620788.78,407.1749828092512
8,1693620788.8,412.5131672710879
9,1693620788.81,412.05134155886816
10,1693620788.83,416.0892407352468
11,1693620788.83,412.02596179395647
12,1693620788.86,416.6694693597302
13,1693620788.87,409.7914637180635
14,1693620788.88,413.3213277507447
15,1693620788.9,421.8858560159745
16,1693620788.91,415.92603544534643
17,1693620788.91,418.55206752569376
18,1693620788.94,418.3019952876853
19,1693620788.95,421.69715864224025
20,1693620788.96,415.78493742640524
21,1693620788.98,411.1244117496677
22,1693620788.98,417.4435226812825
23,1693620789.0,420.60091504275977
24,1693620789.02,415.1682041070682
25,1693620789.03,414.2154343664187
26,1693620789.05,418.4108888836407
27,1693620789.06,413.20396403618884
28,1693620789.08,415.858994335301
29,1693620789.09,412.65954936839114
30,1693620789.1,413.7710490459451
31,1693620789.1,414.30963372192457
32,1693620789.12,415.34852564544053
33,1693620789.14,413.5600248666689
34,1693620789.16,412.5514788170446
35,1693620789.18,411.5809778452166
36,1693620789.18,413.96701028163966
37,1693620789.19,414.5915078949518
38,1693620789.21,414.6793983116858
39,1693620789.23,407.43091423001863
40,1693620789.24,411.9645725456124
41,1693620789.26,409.96345108768696
42,1693620789.26,406.08127896760425
43,1693620789.28,408.40691498252704
