,timestamps,emg_signal
4092,1693532159.320097,346
4094,1693532159.3382351,346
4093,1693532159.3382351,346
4095,1693532159.3542268,346
4096,1693532159.3686967,346
4097,1693532159.3867197,346
4098,1693532159.402862,346
4099,1693532159.405065,346
4100,1693532159.422667,346
4101,1693532159.4388616,346
4102,1693532159.45605,347
4103,1693532159.4688108,347
4104,1693532159.4849205,348
4105,1693532159.5005665,349
4106,1693532159.5005665,351
4107,1693532159.5157137,352
4108,1693532159.5326648,352
4109,1693532159.550266,354
4110,1693532159.5691843,357
4111,1693532159.5848303,358
4112,1693532159.5936213,360
4113,1693532159.612599,363
4114,1693532159.614802,365
4115,1693532159.6361074,368
4116,1693532159.653401,369
4117,1693532159.653401,370
4118,1693532159.670704,372
4119,1693532159.6885476,373
4120,1693532159.704775,374
4121,1693532159.7219262,375
4122,1693532159.7219262,374
4123,1693532159.7380438,374
4124,1693532159.7536366,373
4125,1693532159.7696507,372
4126,1693532159.785789,371
4127,1693532159.801417,369
4128,1693532159.817023,368
4129,1693532159.83345,367
4130,1693532159.8365514,365
4131,1693532159.8536603,362
4132,1693532159.870311,359
