,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1686017694.254,-20.508,-278.32,-157.227,-17.09,119458.675,316
1,1686017694.258,-45.898,-648.438,-246.582,-40.039,119458.679,316
2,1686017694.262,-37.598,191.895,145.508,-30.762,119458.683,316
3,1686017694.266,-23.926,396.973,132.812,-10.742,119458.686,316
4,1686017694.27,-31.25,76.66,47.852,-22.461,119458.69,314
5,1686017694.274,-41.504,-268.066,-113.77,-35.156,119458.694,314
6,1686017694.278,-36.621,-265.625,-119.629,-19.531,119458.698,314
7,1686017694.281,-35.156,88.379,122.559,-11.719,119458.702,315
8,1686017694.285,-50.781,-453.613,-211.914,-17.09,119458.706,315
9,1686017694.289,-39.062,-733.398,-279.297,-16.602,119458.71,315
10,1686017694.293,-27.344,140.137,144.043,-12.207,119458.714,315
11,1686017694.297,-30.762,189.941,57.129,-5.859,119458.718,315
12,1686017694.299,-34.18,45.898,49.805,-10.742,119458.72,315
13,1686017694.303,-45.898,231.445,110.352,-28.32,119458.724,315
14,1686017694.307,-43.457,280.273,89.844,-34.668,119458.728,315
15,1686017694.311,-34.668,60.059,23.438,-16.602,119458.732,316
16,1686017694.315,-42.969,12.207,19.043,-13.184,119458.736,316
17,1686017694.319,-58.105,-43.945,-33.691,-25.879,119458.74,316
18,1686017694.322,-64.941,-57.129,-9.766,-42.48,119458.744,316
19,1686017694.326,-59.57,-155.762,-84.473,-28.809,119458.748,316
20,1686017694.33,-40.039,-557.129,-208.008,-9.277,119458.752,316
21,1686017694.334,-30.273,-248.535,16.602,-21.484,119458.756,316
22,1686017694.338,-40.527,-98.145,7.812,-34.668,119458.759,315
23,1686017694.342,-46.875,-536.133,-226.562,-36.133,119458.763,315
24,1686017694.344,-44.922,-683.105,-183.105,-17.09,119458.765,315
25,1686017694.348,-41.992,153.809,214.355,-19.043,119458.769,315
26,1686017694.352,-35.645,328.613,112.793,-37.598,119458.772,314
27,1686017694.356,-37.598,-2.441,31.738,-29.785,119458.776,314
28,1686017694.36,-34.668,135.742,121.094,-13.672,119458.78,314
29,1686017694.364,-30.273,77.148,48.34,-12.695,119458.784,314
30,1686017694.368,-41.992,-109.863,-21.484,-29.785,119458.788,314
31,1686017694.371,-59.57,-567.383,-219.238,-34.18,119458.792,314
32,1686017694.375,-50.293,-416.504,-63.965,-13.184,119458.796,314
33,1686017694.379,-41.504,430.664,239.746,-6.348,119458.8,315
34,1686017694.383,-50.293,287.109,74.219,-20.996,119458.804,315
35,1686017694.387,-60.059,-212.402,-93.75,-32.227,119458.808,315
36,1686017694.389,-50.781,-107.422,37.598,-20.02,119458.811,315
37,1686017694.393,-38.574,426.758,212.891,-4.395,119458.815,316
38,1686017694.397,-41.504,185.059,14.648,-8.789,119458.818,316
39,1686017694.401,-52.734,-373.535,-157.227,-19.043,119458.822,316
40,1686017694.405,-47.363,-89.844,20.508,-8.301,119458.826,315
41,1686017694.409,-29.297,116.699,107.422,1.465,119458.83,315
42,1686017694.413,-25.879,-254.395,-108.398,-4.883,119458.834,315
43,1686017694.416,-30.762,-604.004,-297.363,-12.207,119458.838,315
44,1686017694.42,-35.156,-126.465,10.254,-11.719,119458.842,314
