,timestamps,emg_signal
6813,1693453537.923705,508
6814,1693453537.926907,508
6815,1693453537.9440308,507
6816,1693453537.9613545,507
6817,1693453537.9773574,507
6818,1693453537.989035,508
6819,1693453538.0054002,508
6820,1693453538.0064127,508
6821,1693453538.0235462,508
6822,1693453538.0391717,510
6823,1693453538.0548036,511
6824,1693453538.0695243,513
6825,1693453538.0868254,514
6826,1693453538.0910172,515
6827,1693453538.1073122,516
