,timestamps,emg_signal
3064,1693453486.3201303,541
3065,1693453486.3277082,541
3066,1693453486.3447428,542
3067,1693453486.34612,542
3068,1693453486.3631685,543
3069,1693453486.3790026,544
3070,1693453486.395861,546
3071,1693453486.4116106,547
3072,1693453486.4116106,548
3073,1693453486.4289637,548
3074,1693453486.4458568,548
3075,1693453486.4615664,548
3076,1693453486.477192,549
3077,1693453486.4940474,549
3078,1693453486.5110388,549
3079,1693453486.514118,549
3080,1693453486.5281787,549
3081,1693453486.5453966,550
3082,1693453486.5625267,550
3083,1693453486.578301,550
3084,1693453486.5795856,550
