,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1686621314.49,-44.922,190.43,12.695,-67.383,692.401,379.6830653870131
1,1686621314.5,23.926,123.535,-3.418,-3.906,692.405,383.96328419407894
2,1686621314.5,48.828,-98.145,-25.391,20.996,692.409,369.0977752671825
3,1686621314.5,-19.043,-142.09,-2.441,-47.363,692.413,380.2852042961479
4,1686621314.51,-70.801,-30.273,-2.441,-92.285,692.417,388.3131286214053
5,1686621314.51,-14.16,-345.703,-48.828,-27.832,692.421,379.6606943040191
6,1686621314.52,36.133,-872.07,11.23,32.227,692.424,370.7842237855663
7,1686621314.52,-9.277,-273.438,74.707,-18.066,692.428,370.6911342754638
8,1686621314.52,-67.383,185.059,-16.113,-85.938,692.432,388.28797676330544
9,1686621314.53,-40.527,-135.742,14.16,-51.758,692.436,368.62347828412135
10,1686621314.53,21.973,62.988,47.363,10.254,692.44,371.3303907944082
11,1686621314.54,0.977,311.523,-4.395,-16.113,692.444,386.1218785034206
12,1686621314.55,-72.266,46.875,-9.766,-79.102,692.448,381.05460169053197
13,1686621314.56,-66.895,-184.57,10.254,-73.73,692.452,373.7481271987696
14,1686621314.56,11.23,-225.098,19.043,-5.371,692.456,374.9448543439382
15,1686621314.56,21.973,20.996,3.418,1.465,692.459,387.453259179537
16,1686621314.57,-44.922,83.496,-27.832,-66.406,692.463,382.0787920160192
17,1686621314.57,-71.777,-667.969,-35.156,-90.332,692.467,370.6436104593619
18,1686621314.58,-14.16,-834.961,38.574,-37.109,692.471,370.3608667431593
19,1686621314.58,27.832,34.668,44.434,-9.277,692.475,371.9657866259801
20,1686621314.58,-18.555,216.797,-41.992,-58.105,692.479,385.61832209337047
21,1686621314.59,-82.52,-521.484,17.09,-111.328,692.483,380.98571522949976
22,1686621314.59,-42.48,-261.719,79.59,-73.73,692.487,377.08380706848976
23,1686621314.59,35.156,491.699,6.348,-0.977,692.491,374.2330067190028
24,1686621314.6,-1.465,182.129,-49.805,-20.02,692.493,369.41912815188516
25,1686621314.6,-78.613,-213.379,-33.203,-88.379,692.496,393.603712035661
26,1686621314.6,-52.246,-6.836,19.043,-73.73,692.5,360.6184172730035
27,1686621314.61,21.484,271.973,15.625,-3.906,692.504,375.01888819706704
28,1686621314.61,5.859,48.34,-13.184,-8.301,692.508,388.0063353008867
29,1686621314.62,-70.312,-464.844,-32.715,-70.801,692.512,371.58162588936335
30,1686621314.62,-66.406,-501.465,8.789,-70.312,692.516,375.56623035368705
31,1686621314.62,9.766,8.789,39.062,-9.277,692.52,381.6729104227015
32,1686621314.63,20.996,-231.445,-44.922,5.371,692.524,366.6203024837139
33,1686621314.63,-44.922,-937.012,0.0,-51.27,692.528,360.6646588206367
34,1686621314.64,-61.035,-296.875,68.359,-83.008,692.532,375.5449411923543
35,1686621314.64,11.719,264.16,2.93,-19.531,692.536,377.89879494782525
36,1686621314.64,48.828,99.121,0.488,19.043,692.538,377.9537258916205
37,1686621314.65,-14.648,33.691,-11.719,-39.551,692.542,384.682051160742
38,1686621314.65,-73.73,-227.051,-16.602,-101.074,692.546,369.9783736408221
39,1686621314.65,-19.043,-264.16,18.555,-57.129,692.55,377.8986986566555
40,1686621314.66,38.574,-422.852,19.531,12.207,692.553,367.03617143482273
41,1686621314.66,1.465,-645.508,27.832,-13.184,692.557,377.1742182183181
42,1686621314.67,-67.871,-177.246,26.367,-81.055,692.561,375.7913001173706
43,1686621314.67,-62.988,72.266,-1.465,-68.359,692.565,379.85449194051375
44,1686621314.67,10.254,-457.031,14.16,0.977,692.569,373.3523651636544
45,1686621314.68,12.207,-341.797,69.824,2.93,692.573,375.6790628293309
46,1686621314.68,-62.5,68.359,14.16,-58.594,692.577,366.7880284222565
47,1686621314.68,-78.125,-333.496,-17.09,-72.266,692.581,370.4403329657131
48,1686621314.69,-7.812,-318.359,19.043,-12.207,692.583,369.8822225389436
49,1686621314.69,23.926,176.27,41.016,11.23,692.587,380.9510437047304
50,1686621314.69,-24.902,250.488,-13.184,-41.992,692.591,378.0181648161441
