,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1685413125.28,-1.953,188.965,-61.523,11.23,1986.173,313.0462122047007
1,1685413125.28,-8.789,304.688,-58.105,2.93,1986.177,312.6715141736043
2,1685413125.28,5.859,374.512,-60.547,16.602,1986.181,319.52512622104626
3,1685413125.29,28.809,160.645,-74.219,52.246,1986.185,327.67747104702175
4,1685413125.29,30.273,-42.969,-67.871,51.758,1986.189,327.0378044057956
5,1685413125.3,16.602,-157.227,-64.453,30.762,1986.193,321.6689309889559
6,1685413125.3,20.02,-71.289,-56.641,31.738,1986.197,315.7484849670465
7,1685413125.3,34.668,-199.707,-77.148,46.875,1986.201,327.2972956051678
8,1685413125.31,32.227,-785.156,-72.754,50.781,1986.204,325.2687695742111
9,1685413125.31,17.578,-198.242,-57.617,25.391,1986.208,326.9075669668779
10,1685413125.32,16.113,88.379,-80.566,7.324,1986.212,334.7145657510567
11,1685413125.32,23.438,-292.48,-87.402,28.809,1986.216,318.8880179116848
12,1685413125.32,27.832,-85.938,-66.406,42.48,1986.218,324.43696322149117
13,1685413125.32,24.902,424.316,-60.059,21.484,1986.222,312.80357509462556
14,1685413125.33,20.02,334.961,-77.637,15.137,1986.226,321.90690861555163
15,1685413125.33,18.555,49.316,-67.383,36.133,1986.23,310.4043630067289
16,1685413125.34,26.367,282.227,-66.895,47.363,1986.234,322.3884252671099
17,1685413125.34,21.973,187.012,-83.008,26.855,1986.238,329.3142485163571
18,1685413125.34,6.836,-154.297,-98.145,7.324,1986.242,324.6749646401458
19,1685413125.35,11.719,-773.926,-90.82,37.109,1986.246,305.7483830249908
20,1685413125.35,29.297,-478.027,-32.227,65.43,1986.25,322.48381388845354
21,1685413125.36,40.527,451.172,-54.688,48.828,1986.254,330.2860439485911
22,1685413125.36,21.484,269.043,-89.355,24.414,1986.258,332.80036148134343
23,1685413125.36,9.277,74.707,-64.453,26.367,1986.261,307.98902383510347
24,1685413125.37,19.531,409.18,-60.059,47.363,1986.263,312.03596756502907
25,1685413125.37,14.648,507.812,-72.754,48.828,1986.267,312.6679307856938
26,1685413125.37,18.555,186.035,-79.102,29.297,1986.271,303.2570057120119
27,1685413125.38,25.391,56.152,-67.871,31.25,1986.275,322.453966880914
28,1685413125.38,25.391,277.344,-56.152,59.082,1986.279,314.69692484255876
29,1685413125.39,20.996,202.637,-68.848,60.547,1986.283,320.83605449667346
30,1685413125.39,12.207,-285.156,-86.426,33.691,1986.287,320.08761456054833
31,1685413125.39,7.324,-521.973,-56.152,24.902,1986.291,320.28090177912657
32,1685413125.4,12.207,75.195,-54.199,34.18,1986.295,333.4911579049998
33,1685413125.4,24.414,211.914,-79.102,39.062,1986.299,327.12324380661084
34,1685413125.4,17.578,-420.898,-90.332,20.02,1986.302,313.5569321069085
35,1685413125.41,15.625,-620.605,-53.223,14.16,1986.306,329.71531235461043
36,1685413125.41,24.902,210.938,-49.316,22.461,1986.321,340.1409262872969
37,1685413125.42,20.996,398.926,-84.961,20.508,1986.325,325.194578439222
38,1685413125.42,17.578,86.914,-77.148,9.277,1986.329,325.63124521224614
39,1685413125.42,10.254,248.535,-68.359,-5.859,1986.333,328.0113362720875
40,1685413125.43,14.16,423.828,-62.5,7.324,1986.337,325.18752037082317
41,1685413125.43,17.578,91.797,-74.707,35.156,1986.341,320.5969591727019
42,1685413125.44,19.043,-638.184,-91.309,36.621,1986.345,310.3784881593508
43,1685413125.44,23.438,-254.883,-64.453,6.836,1986.348,319.4939187188835
44,1685413125.44,15.137,377.441,-88.867,-0.488,1986.352,325.5937391482359
45,1685413125.45,20.508,256.348,-99.121,40.039,1986.356,335.25445949191044
46,1685413125.45,32.227,210.938,-71.289,46.875,1986.36,332.66408564538705
47,1685413125.45,27.832,161.621,-90.332,17.578,1986.364,312.3968152227581
48,1685413125.46,27.344,98.633,-80.078,5.859,1986.367,333.7109459559319
49,1685413125.46,23.438,44.922,-70.801,16.602,1986.371,314.8815002203355
50,1685413125.46,28.32,-114.746,-66.406,38.086,1986.375,324.46848688380317
51,1685413125.47,35.645,210.938,-68.848,33.203,1986.379,333.85027080437123
52,1685413125.47,25.879,339.844,-79.59,13.672,1986.382,330.9353683739917
53,1685413125.48,20.996,-182.129,-89.844,20.02,1986.386,334.3007125986145
54,1685413125.48,23.926,-441.406,-64.453,39.062,1986.39,342.8482544122893
55,1685413125.48,19.043,221.68,-66.406,31.738,1986.394,330.6691262459681
56,1685413125.49,5.859,372.559,-97.656,6.836,1986.398,323.2172144839948
57,1685413125.49,7.812,-153.32,-97.168,9.766,1986.402,322.37375668043035
58,1685413125.5,17.578,-238.281,-75.195,45.898,1986.406,309.71338302404195
59,1685413125.5,33.203,282.227,-66.895,50.293,1986.41,325.03013242175155
60,1685413125.52,39.551,365.723,-79.59,30.762,1986.416,332.735805895996
61,1685413125.52,24.414,-413.086,-97.656,36.133,1986.42,328.60433597411964
62,1685413125.52,31.738,-550.293,-65.43,48.828,1986.424,303.5024361239366
63,1685413125.53,47.363,226.074,-40.039,62.012,1986.428,343.2777993489373
64,1685413125.53,46.387,338.379,-73.242,52.246,1986.432,328.1695373740053
65,1685413125.54,42.48,-593.262,-100.586,33.691,1986.436,320.73256124835984
66,1685413125.54,50.781,-519.531,-48.34,50.293,1986.439,319.7817161727694
