,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1686190378.463,177.246,564.941,5.371,3.906,1218.36,317
1,1686190378.467,-175.781,271.484,68.359,-39.062,1218.363,316
2,1686190378.471,-208.496,600.098,33.203,-39.062,1218.367,316
3,1686190378.475,134.766,967.773,5.859,11.23,1218.371,316
4,1686190378.479,215.82,397.461,-48.828,17.09,1218.375,316
5,1686190378.483,-119.629,-370.117,-8.301,-22.461,1218.379,316
6,1686190378.486,-259.766,194.824,84.961,-41.016,1218.383,316
7,1686190378.49,56.641,831.543,30.273,-12.695,1218.387,316
8,1686190378.494,253.906,315.918,-5.859,6.836,1218.391,316
9,1686190378.498,-10.254,56.641,68.848,-29.785,1218.395,316
10,1686190378.502,-258.789,498.047,8.789,-57.617,1218.399,316
11,1686190378.506,-61.523,420.898,-26.855,-32.715,1218.403,317
12,1686190378.508,225.098,212.891,36.133,-12.207,1218.404,317
13,1686190378.512,107.91,400.391,68.359,-24.902,1218.408,317
14,1686190378.516,-200.195,719.238,0.488,-47.363,1218.412,317
15,1686190378.52,-164.062,475.098,-36.133,-47.363,1218.416,317
16,1686190378.524,174.316,444.824,28.809,-11.23,1218.42,317
17,1686190378.528,176.758,574.707,25.879,-9.766,1218.424,317
18,1686190378.531,-169.434,473.145,-1.465,-56.152,1218.428,316
19,1686190378.535,-244.141,212.891,-41.016,-59.57,1218.432,316
20,1686190378.539,88.867,-25.391,59.57,-7.324,1218.436,316
21,1686190378.543,252.441,709.473,148.438,2.93,1218.439,316
22,1686190378.547,-48.34,906.25,-34.18,-35.156,1218.443,315
23,1686190378.551,-267.09,368.164,26.855,-58.594,1218.447,315
24,1686190378.556,9.277,568.848,111.328,-28.32,1218.456,315
25,1686190378.56,251.953,852.539,35.645,-4.395,1218.46,316
26,1686190378.564,12.207,633.789,-49.316,-29.785,1218.464,316
27,1686190378.568,-283.691,123.535,19.531,-57.129,1218.468,316
28,1686190378.572,-98.145,190.918,162.109,-35.645,1218.472,316
29,1686190378.576,231.445,618.652,55.176,-6.836,1218.476,316
30,1686190378.579,114.258,577.148,-20.02,-29.785,1218.48,316
31,1686190378.583,-241.211,-166.016,-27.344,-60.059,1218.483,316
32,1686190378.587,-208.008,-237.793,118.164,-48.828,1218.487,316
33,1686190378.591,160.156,855.469,93.262,-13.672,1218.491,317
34,1686190378.595,195.801,848.633,-13.672,-3.418,1218.495,317
35,1686190378.598,-247.559,169.434,2.441,-40.039,1218.494,317
36,1686190378.599,-145.996,388.184,-27.344,-33.203,1218.499,317
37,1686190378.602,95.215,628.418,83.984,-5.371,1218.498,317
38,1686190378.606,256.836,863.77,1.953,8.789,1218.502,317
39,1686190378.61,-42.48,318.359,-33.691,-20.02,1218.506,317
40,1686190378.614,-265.625,158.203,6.348,-43.457,1218.51,317
41,1686190378.618,-20.02,329.102,37.109,-31.738,1218.514,316
42,1686190378.621,252.441,505.371,-19.531,-21.484,1218.518,316
43,1686190378.625,26.855,-418.945,-122.07,-38.574,1218.522,316
44,1686190378.629,-293.457,-695.801,74.219,-59.57,1218.526,315
45,1686190378.633,-126.953,507.812,108.398,-40.527,1218.53,315
46,1686190378.637,214.355,760.254,52.734,3.418,1218.533,315
47,1686190378.641,130.371,679.688,54.199,-5.859,1218.537,316
48,1686190378.643,-222.656,707.52,-28.32,-39.062,1218.539,316
49,1686190378.647,-221.191,589.355,-16.602,-39.062,1218.543,316
50,1686190378.651,121.582,587.891,25.879,-12.207,1218.547,316
51,1686190378.655,190.918,781.25,33.691,-10.742,1218.551,316
52,1686190378.659,-136.719,666.504,-42.969,-47.363,1218.555,316
53,1686190378.663,-272.461,316.895,-24.902,-57.617,1218.559,316
54,1686190378.666,30.762,-177.246,-5.859,-21.973,1218.563,316
55,1686190378.67,220.703,-270.02,61.035,2.93,1218.567,317
56,1686190378.674,-38.086,524.902,53.711,-38.574,1218.57,317
57,1686190378.678,-288.086,480.957,-38.086,-69.824,1218.574,317
58,1686190378.682,-48.828,350.586,53.711,-32.227,1218.578,316
59,1686190378.686,260.254,765.137,34.668,5.371,1218.582,316
60,1686190378.703,78.613,645.02,-56.152,-20.508,1218.6,315
61,1686190378.707,-263.184,150.391,-59.57,-62.012,1218.604,315
62,1686190378.711,-164.551,-74.219,39.062,-47.852,1218.608,315
63,1686190378.715,185.547,489.258,112.305,-22.461,1218.612,315
64,1686190378.719,158.203,946.777,-13.672,-35.645,1218.616,315
65,1686190378.723,-205.078,274.414,-113.281,-68.848,1218.619,315
66,1686190378.726,-266.602,-423.828,5.371,-66.406,1218.623,315
67,1686190378.73,114.258,343.75,146.484,-15.625,1218.627,315
68,1686190378.734,221.191,969.238,-3.906,-9.277,1218.631,315
69,1686190378.738,-132.324,276.367,-28.32,-56.152,1218.635,315
70,1686190378.742,-286.133,19.531,81.055,-63.477,1218.639,316
71,1686190378.746,17.09,631.836,82.52,-31.738,1218.643,316
72,1686190378.748,236.816,883.301,-12.207,-10.254,1218.644,316
73,1686190378.752,-13.184,378.418,4.395,-34.18,1218.648,315
74,1686190378.756,-277.344,164.062,97.656,-62.5,1218.652,315
75,1686190378.76,-67.383,626.465,62.5,-33.203,1218.656,315
76,1686190378.764,229.004,854.004,-19.531,-4.883,1218.66,315
77,1686190378.768,77.148,372.559,-50.781,-31.25,1218.664,314
78,1686190378.771,-254.883,12.695,37.109,-66.895,1218.668,314
79,1686190378.775,-169.922,404.785,64.941,-53.223,1218.672,314
80,1686190378.779,179.199,766.113,-6.836,-5.859,1218.676,314
81,1686190378.783,154.297,70.801,-10.254,1.953,1218.68,314
82,1686190378.787,-185.547,-218.262,66.406,-45.41,1218.684,314
83,1686190378.791,-231.445,284.668,13.672,-60.059,1218.687,314
