timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1686714678.494,25.391,-106.445,21.973,67.871,758.391
1686714678.498,-40.527,-49.316,-11.230,-62.500,758.395
1686714678.502,-80.078,-492.676,-26.367,-94.727,758.399
1686714678.506,-19.043,-774.902,45.898,20.996,758.403
1686714678.510,51.270,-238.770,61.523,81.055,758.407
1686714678.514,22.461,-234.863,-10.742,-20.996,758.411
1686714678.517,-43.457,-692.383,-7.324,-104.492,758.415
1686714678.521,-30.273,-889.160,27.344,-5.371,758.419
1686714678.525,31.738,-339.355,91.309,89.844,758.423
1686714678.529,20.996,72.754,8.301,11.230,758.427
1686714678.533,-41.016,-238.770,-48.828,-96.680,758.431
1686714678.537,-42.969,-460.449,5.859,-60.547,758.434
1686714678.540,42.969,-92.285,-5.859,56.152,758.435
1686714678.544,-20.508,-318.848,-19.043,-69.336,758.439
1686714678.548,-58.594,-490.723,67.383,-63.965,758.443
1686714678.552,-3.906,-215.820,25.391,64.941,758.447
1686714678.556,44.434,-350.098,-3.418,86.426,758.451
1686714678.559,-9.277,-685.059,-60.059,-37.598,758.455
1686714678.563,-74.707,-1000.000,-19.043,-86.426,758.459
1686714678.567,-32.227,-583.496,153.809,14.160,758.462
1686714678.571,32.715,-23.926,44.434,79.102,758.466
1686714678.575,5.859,-301.270,-36.133,-20.020,758.470
1686714678.579,-49.805,-264.160,24.414,-113.770,758.474
1686714678.585,-26.855,48.828,27.344,-37.598,758.489
1686714678.589,46.387,3.418,2.930,81.055,758.493
1686714678.593,51.758,-309.082,49.316,30.273,758.497
1686714678.597,-16.602,-235.352,38.574,-94.238,758.501
1686714678.601,-20.996,-111.816,19.531,-53.711,758.505
1686714678.605,49.805,-387.207,-13.672,85.449,758.509
1686714678.608,56.152,-877.441,-48.828,73.242,758.513
1686714678.612,-6.836,-753.418,26.367,-65.430,758.517
1686714678.616,-32.715,-272.461,32.715,-82.520,758.521
1686714678.620,6.348,-314.453,-25.391,50.781,758.525
1686714678.624,36.621,-529.785,47.852,92.773,758.528
1686714678.628,-10.254,-404.297,7.324,-32.715,758.532
1686714678.626,-63.965,-514.648,-20.020,-94.727,758.536
1686714678.630,-26.367,-637.207,29.297,19.531,758.540
1686714678.634,41.992,-577.637,91.309,106.445,758.543
1686714678.638,23.926,-151.367,51.758,7.324,758.547
1686714678.642,-49.316,-116.699,-27.832,-96.191,758.551
1686714678.646,-39.551,-624.512,-11.230,-27.344,758.555
1686714678.649,38.086,-663.086,103.516,76.660,758.559
1686714678.653,41.992,-86.426,55.176,26.367,758.563
1686714678.657,-29.297,-100.586,-40.039,-86.914,758.567
1686714678.661,-53.711,-738.281,-44.922,-58.105,758.571
1686714678.665,16.113,-607.422,45.898,67.871,758.575
1686714678.669,52.734,-25.391,39.062,61.035,758.579
1686714678.685,-16.602,-192.871,-44.922,-75.684,758.580
1686714678.689,-60.059,-796.387,-36.621,-100.586,758.584
1686714678.693,-8.301,-557.617,55.664,18.555,758.588
1686714678.697,43.945,-50.293,45.410,67.871,758.592
1686714678.701,-0.977,-251.953,-31.250,-41.504,758.596
1686714678.705,-70.312,-819.824,13.672,-112.793,758.600
1686714678.708,-34.180,-689.941,72.266,-9.766,758.604
1686714678.712,46.875,-128.906,20.996,82.031,758.607
1686714678.716,25.391,-277.344,-57.617,-4.883,758.611
1686714678.720,-49.316,-808.105,48.828,-110.352,758.615
1686714678.724,-43.457,-444.824,78.613,-53.223,758.619
1686714678.728,7.324,-200.684,-35.156,67.383,758.623
1686714678.730,3.418,-660.156,-42.969,28.809,758.626
1686714678.734,-67.871,-901.855,54.688,-106.445,758.629
1686714678.738,-70.801,-470.703,97.168,-92.285,758.633
1686714678.742,4.883,-125.977,9.766,52.734,758.637
1686714678.746,27.832,-432.129,-18.555,68.848,758.641
1686714678.750,-28.809,-798.828,-5.859,-59.570,758.645
1686714678.753,-67.383,-738.281,6.348,-97.656,758.649
1686714678.757,-11.230,-293.457,16.113,19.043,758.653
1686714678.761,44.922,-577.637,-45.410,84.473,758.657
1686714678.765,2.930,-826.660,50.781,-24.902,758.661
1686714678.769,-49.805,-353.027,47.363,-109.863,758.665
