timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1686066792.464,68.848,457.520,181.152,16.113,1097.361
1686066792.468,10.742,-78.125,27.344,-2.441,1097.364
1686066792.472,-76.660,-29.297,94.727,-42.969,1097.368
1686066792.476,-42.969,399.414,201.660,-44.922,1097.372
1686066792.480,33.203,390.137,166.504,-25.879,1097.376
1686066792.484,-1.953,-65.430,24.902,-30.273,1097.380
1686066792.488,-83.008,-184.570,24.902,-35.645,1097.384
1686066792.491,-51.758,291.504,185.547,-16.602,1097.388
1686066792.495,36.133,152.832,35.156,23.438,1097.392
1686066792.499,25.879,-462.891,-113.770,37.109,1097.396
1686066792.503,-45.898,-46.875,103.027,12.695,1097.400
1686066792.507,-43.945,136.719,79.102,24.414,1097.404
1686066792.511,41.016,-337.402,-62.500,64.941,1097.409
1686066792.515,63.477,-160.156,23.926,78.613,1097.413
1686066792.519,-6.348,336.914,198.242,59.570,1097.417
1686066792.523,-29.297,242.188,112.305,50.781,1097.421
1686066792.527,46.875,-136.230,-12.695,77.148,1097.425
1686066792.531,92.773,-236.816,36.621,99.609,1097.429
1686066792.535,36.133,44.434,129.395,87.891,1097.433
1686066792.538,-13.672,217.773,108.398,65.918,1097.437
1686066792.542,42.480,-418.457,-170.898,88.867,1097.441
1686066792.546,102.539,-674.316,-145.996,119.629,1097.444
1686066792.550,68.359,165.039,199.707,98.633,1097.448
1686066792.554,-4.395,253.906,96.191,66.406,1097.452
1686066792.555,1.953,-269.043,-72.754,71.777,1097.452
1686066792.559,79.102,46.387,135.254,90.820,1097.456
1686066792.563,75.684,329.102,168.945,92.285,1097.460
1686066792.567,-11.230,-121.582,-58.594,71.289,1097.464
1686066792.571,-23.926,-254.883,-45.410,57.129,1097.468
1686066792.575,54.199,-45.898,105.957,70.801,1097.472
1686066792.579,72.266,173.828,212.402,74.219,1097.475
1686066792.582,-9.766,98.145,62.988,46.387,1097.479
1686066792.586,-54.199,-843.750,-428.711,37.109,1097.483
1686066792.590,16.113,-514.160,-139.160,40.039,1097.487
1686066792.594,74.219,559.082,283.203,43.457,1097.491
1686066792.598,18.555,209.473,71.289,36.621,1097.495
1686066792.599,-45.898,-24.902,30.762,11.230,1097.495
1686066792.603,-1.953,299.805,154.297,21.973,1097.499
1686066792.607,75.684,475.098,227.051,42.969,1097.503
1686066792.611,43.945,229.004,167.969,32.227,1097.507
1686066792.615,-36.621,-75.684,23.926,8.301,1097.511
1686066792.619,-25.391,-155.273,13.672,6.836,1097.515
1686066792.623,51.270,50.781,144.531,27.344,1097.519
1686066792.626,51.270,-371.094,-92.773,44.434,1097.523
1686066792.630,-34.180,-780.273,-270.996,24.902,1097.527
1686066792.634,-52.734,-237.305,14.160,-1.953,1097.530
1686066792.638,32.715,29.297,101.074,20.508,1097.534
1686066792.642,59.570,-201.172,20.996,34.180,1097.538
1686066792.644,-10.742,-37.598,83.008,1.465,1097.540
1686066792.648,-49.805,358.887,145.020,-18.066,1097.544
1686066792.652,19.531,174.316,80.078,6.348,1097.548
1686066792.656,81.055,232.422,151.367,27.344,1097.552
1686066792.660,25.879,409.668,159.668,13.672,1097.556
1686066792.664,-53.223,104.980,51.270,-18.555,1097.560
1686066792.668,-23.926,-258.789,-60.547,-7.812,1097.564
1686066792.671,53.711,-649.902,-131.348,22.949,1097.568
1686066792.675,30.273,-103.027,114.746,1.465,1097.572
1686066792.679,-45.898,466.797,200.684,-27.344,1097.575
1686066792.683,-36.621,-5.371,2.930,-15.625,1097.579
1686066792.687,35.645,-7.324,55.176,5.371,1097.583
1686066792.689,39.062,500.488,251.465,-0.488,1097.585
1686066792.693,-40.527,434.570,139.648,-29.297,1097.589
1686066792.697,-70.801,-41.992,-25.879,-41.504,1097.593
1686066792.701,5.371,91.309,116.699,-25.391,1097.597
1686066792.705,48.828,483.887,234.863,-12.207,1097.601
1686066792.709,-22.949,202.637,106.934,-27.344,1097.605
