timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1686714817.421,-44.922,-269.043,-21.973,-77.637,897.316
1686714817.425,1.953,24.414,111.328,38.574,897.320
1686714817.429,37.109,205.566,79.590,69.824,897.324
1686714817.433,2.930,-179.688,-141.113,-30.273,897.328
1686714817.437,-45.410,-597.168,-196.777,-86.426,897.332
1686714817.441,-23.438,-540.039,1.465,-4.395,897.336
1686714817.445,35.645,-198.730,104.980,69.824,897.340
1686714817.448,21.973,-288.574,-66.895,-12.695,897.344
1686714817.452,-37.109,-652.344,-65.918,-97.168,897.347
1686714817.456,-34.668,-138.184,155.273,-31.738,897.351
1686714817.460,25.391,166.504,159.668,74.707,897.355
1686714817.464,24.902,-427.246,-187.988,36.133,897.359
1686714817.466,-43.457,-1000.000,-381.348,-68.848,897.362
1686714817.470,-46.387,-447.754,126.953,-50.781,897.366
1686714817.474,16.602,120.605,224.609,67.383,897.370
1686714817.478,33.691,-138.672,-10.254,68.359,897.373
1686714817.482,-13.672,-115.723,16.602,-51.758,897.377
1686714817.486,-45.410,-266.113,-64.941,-66.895,897.381
1686714817.490,7.324,-430.176,-4.395,55.176,897.385
1686714817.493,48.340,-795.410,-216.797,98.145,897.389
1686714817.497,5.859,-750.977,-94.727,-20.020,897.393
1686714817.501,-37.109,-67.871,178.711,-91.797,897.397
1686714817.505,-11.719,-13.184,69.824,9.277,897.401
1686714817.509,36.133,-130.859,54.688,92.285,897.405
1686714817.512,14.648,62.500,82.520,4.395,897.407
1686714817.516,-52.246,60.059,20.020,-101.562,897.411
1686714817.520,-41.992,-146.484,-38.086,-36.133,897.415
1686714817.524,21.973,-106.934,78.613,78.613,897.419
1686714817.528,16.602,46.875,62.500,31.738,897.423
1686714817.532,-38.574,-251.953,-132.812,-88.867,897.427
1686714817.536,-58.105,-647.461,-182.129,-81.055,897.431
1686714817.539,-7.812,-726.074,-82.031,42.480,897.435
1686714817.543,25.879,-196.777,110.840,57.129,897.438
1686714817.547,-27.344,-199.707,10.254,-57.617,897.442
1686714817.551,-76.660,-651.367,-163.574,-81.543,897.446
1686714817.555,-38.574,-734.863,-33.203,21.484,897.450
1686714817.558,20.996,-112.793,208.496,71.777,897.455
1686714817.562,-1.465,70.312,47.363,-26.855,897.459
1686714817.566,-58.105,-589.355,-251.465,-114.258,897.463
1686714817.570,-35.156,-416.504,2.441,-40.527,897.466
1686714817.574,24.414,116.699,190.430,58.105,897.470
1686714817.578,1.953,-244.629,-77.637,0.977,897.474
1686714817.582,-64.941,-860.840,-332.520,-95.703,897.478
1686714817.585,-60.547,-524.414,57.617,-52.734,897.482
1686714817.589,19.043,143.066,247.559,73.242,897.486
1686714817.593,24.902,1.953,11.719,37.598,897.490
1686714817.597,-39.062,-319.336,-36.133,-94.727,897.494
1686714817.601,-47.852,-284.668,25.879,-73.730,897.498
1686714817.602,2.930,-164.551,63.965,44.434,897.510
1686714817.606,38.086,-122.559,6.836,61.035,897.514
1686714817.610,-6.836,-587.891,-102.539,-49.805,897.518
1686714817.614,-55.664,-329.102,52.734,-95.215,897.522
1686714817.618,-21.484,103.516,155.273,8.789,897.526
1686714817.622,24.414,-219.727,-59.570,80.078,897.530
1686714817.626,-18.066,-886.719,-323.730,-10.742,897.534
1686714817.629,-76.172,-492.188,50.781,-110.352,897.538
1686714817.633,-43.945,-17.578,161.133,-45.898,897.541
1686714817.637,19.043,-157.227,22.461,52.246,897.545
1686714817.641,10.254,-202.637,44.434,-3.418,897.549
1686714817.645,-56.152,-374.023,-62.500,-105.957,897.553
1686714817.663,-64.453,-189.941,51.758,-68.848,897.559
1686714817.667,-9.277,-423.340,-41.016,44.434,897.563
1686714817.671,3.906,-687.988,-42.480,27.832,897.566
1686714817.675,-45.410,-196.777,159.668,-90.820,897.570
1686714817.679,-64.941,-30.273,79.102,-98.145,897.574
1686714817.683,-19.531,-716.797,-277.344,18.066,897.578
1686714817.687,8.789,-774.414,-107.422,45.410,897.582
1686714817.690,-28.809,-40.039,153.809,-78.125,897.586
1686714817.694,-66.406,-111.328,12.207,-125.488,897.590
1686714817.698,-29.297,-391.602,39.551,-18.066,897.594
1686714817.702,21.973,12.695,121.094,62.012,897.598
1686714817.706,3.906,145.508,40.527,-21.973,897.602
1686714817.722,-57.129,-147.949,-61.035,-113.281,897.617
1686714817.726,-47.363,-248.047,-26.367,-42.480,897.621
1686714817.730,24.414,77.148,103.516,58.594,897.625
1686714817.734,14.160,170.410,42.969,2.930,897.629
1686714817.738,-60.059,-267.578,-170.898,-109.863,897.633
1686714817.742,-62.988,-616.699,-167.480,-71.777,897.637
1686714817.746,-0.977,-467.285,18.066,48.828,897.641
1686714817.749,19.531,-147.461,112.305,41.504,897.644
1686714817.753,-32.715,-392.578,-123.047,-60.059,897.648
1686714817.757,-73.242,-919.434,-295.410,-69.336,897.652
1686714817.761,-21.484,-406.250,110.352,38.574,897.656
1686714817.765,24.902,-159.668,130.859,80.566,897.660
1686714817.752,-21.484,-578.613,-99.609,-38.086,897.647
1686714817.756,-76.660,-577.148,4.883,-115.723,897.651
1686714817.760,-35.645,-36.133,186.523,-15.625,897.655
1686714817.764,22.949,181.152,137.695,75.195,897.659
1686714817.768,-4.395,-225.098,-114.258,-10.742,897.663
1686714817.772,-57.129,-527.344,-197.266,-103.516,897.667
1686714817.776,-40.527,-384.277,9.766,-19.043,897.671
1686714817.779,10.254,-307.129,55.664,86.426,897.675
1686714817.783,17.090,-665.527,-174.316,34.668,897.679
1686714817.787,-35.156,-413.574,-31.250,-86.426,897.683
1686714817.791,-52.734,37.598,154.785,-67.871,897.686
1686714817.795,-7.324,-38.086,42.969,55.176,897.690
1686714817.797,4.395,-796.387,-291.016,67.383,897.693
1686714817.801,-44.434,-664.551,-73.242,-54.688,897.697
1686714817.805,-75.684,-28.809,162.109,-89.355,897.701
1686714817.809,-37.109,-74.707,43.945,20.996,897.705
1686714817.813,12.207,-120.605,83.984,71.289,897.708
1686714817.817,-14.160,-264.648,-37.109,-34.180,897.712
1686714817.821,-63.477,-389.160,-68.848,-112.305,897.716
1686714817.824,-38.086,-523.926,-71.777,-18.066,897.720
1686714817.828,19.043,-670.898,-54.199,65.918,897.724
1686714817.832,6.348,-196.777,105.957,-11.230,897.728
1686714817.836,-59.082,-228.027,36.621,-110.840,897.732
1686714817.840,-57.617,-707.031,-125.000,-61.035,897.736
1686714817.841,3.906,-742.676,-76.172,60.547,897.737
1686714817.845,19.531,-28.320,199.219,31.250,897.741
1686714817.849,-39.551,18.066,41.504,-89.844,897.745
1686714817.853,-64.453,-376.953,-123.535,-86.426,897.749
1686714817.857,-6.836,-62.988,79.590,19.043,897.753
1686714817.861,19.531,-53.223,54.688,36.133,897.756
1686714817.865,-27.344,-433.105,-153.320,-73.730,897.760
1686714817.868,-67.383,-827.148,-313.477,-110.840,897.764
1686714817.872,-26.367,-425.293,59.570,-8.301,897.768
1686714817.876,29.785,240.234,241.211,51.270,897.772
1686714817.880,-9.277,17.090,3.906,-48.340,897.776
1686714817.884,-60.547,-290.039,-38.574,-118.652,897.780
1686714817.888,-31.250,-245.117,52.246,-21.484,897.784
1686714817.892,34.180,-85.938,93.262,82.520,897.788
1686714817.896,35.156,-159.180,-64.453,25.391,897.792
1686714817.900,-42.480,-568.359,-86.914,-103.516,897.795
1686714817.904,-53.223,-274.414,101.562,-71.289,897.799
1686714817.908,9.277,-138.184,102.539,59.570,897.803
1686714817.912,21.484,-448.730,-54.199,53.711,897.807
1686714817.915,-21.484,-778.320,-159.668,-43.457,897.811
1686714817.919,-36.133,-298.340,113.281,-58.105,897.815
1686714817.923,14.648,132.324,176.758,46.875,897.819
1686714817.927,50.293,-196.777,-51.758,82.031,897.823
1686714817.931,4.395,-497.559,-152.832,-29.297,897.827
1686714817.932,-26.367,-202.148,64.453,-70.312,897.840
1686714817.936,20.020,69.824,128.906,43.457,897.844
1686714817.940,55.176,-483.398,-184.570,115.723,897.848
1686714817.944,34.180,-791.504,-133.301,30.273,897.852
1686714817.948,-7.812,-278.809,134.766,-58.594,897.856
1686714817.952,1.465,-282.715,45.898,5.859,897.860
1686714817.956,51.270,-837.891,-223.633,125.977,897.864
1686714817.959,45.410,-758.301,-70.801,75.195,897.868
1686714817.963,-6.836,-42.969,189.453,-48.340,897.871
1686714817.967,-22.949,-12.695,67.871,-18.066,897.875
1686714817.971,23.438,-225.098,49.805,83.496,897.879
1686714817.975,41.992,-43.945,113.281,73.242,897.883
1686714817.977,-8.789,6.836,31.250,-42.969,897.901
1686714817.981,-41.504,-179.199,-23.926,-68.359,897.905
1686714817.985,0.488,-198.730,17.578,45.898,897.909
1686714817.989,44.434,86.426,113.281,84.473,897.913
1686714817.993,3.418,45.410,-10.254,-31.250,897.917
1686714817.997,-49.316,-511.230,-240.234,-83.496,897.921
1686714818.001,-23.926,-817.871,-105.469,13.672,897.925
1686714818.004,35.645,-377.930,132.324,93.262,897.928
1686714818.008,20.996,42.480,116.699,9.277,897.932
1686714818.012,-48.340,-352.051,-111.816,-86.426,897.936
1686714818.016,-47.852,-747.559,-84.473,-32.715,897.940
1686714818.020,14.648,-346.680,142.578,68.848,897.944
1686714818.037,22.461,32.715,110.840,30.762,897.932
1686714818.041,-35.645,-461.426,-153.320,-81.543,897.936
1686714818.045,-53.711,-586.914,-19.043,-63.965,897.940
1686714818.049,10.742,57.129,233.887,50.781,897.944
1686714818.053,35.156,94.238,40.039,52.246,897.948
1686714818.057,-20.508,-576.660,-276.855,-59.082,897.952
1686714818.061,-52.246,-594.727,-70.312,-88.379,897.956
1686714818.064,-9.766,-4.395,120.605,32.715,897.960
1686714818.068,25.391,-179.688,-76.172,87.891,897.964
1686714818.072,-14.648,-637.695,-97.656,-20.020,897.967
1686714818.076,-59.570,-330.078,60.059,-81.543,897.971
1686714818.080,-29.785,63.965,123.535,3.906,897.975
1686714818.082,25.391,-95.215,-34.668,83.008,897.977
1686714818.086,5.371,-812.500,-324.219,13.184,897.981
1686714818.090,-53.223,-569.824,-0.488,-102.051,897.985
1686714818.094,-48.828,-39.062,183.594,-63.965,897.989
1686714818.098,7.812,-143.066,11.230,51.270,897.993
1686714818.102,14.648,-496.582,-84.961,28.320,897.997
1686714818.106,-34.180,-496.582,-36.133,-89.844,898.001
1686714818.109,-53.223,-79.590,95.215,-96.680,898.005
1686714818.113,-13.184,-272.461,-26.367,27.344,898.009
1686714818.117,13.184,-650.879,-76.172,45.410,898.013
1686714818.121,-23.438,-409.668,4.883,-68.848,898.016
1686714818.125,-54.688,-423.340,-2.930,-98.633,898.020
1686714818.127,-25.879,-693.848,-86.914,3.418,898.023
1686714818.131,9.277,-720.215,-53.223,59.082,898.027
1686714818.135,-16.113,-107.422,171.387,-42.969,898.031
1686714818.139,-66.895,-74.219,57.617,-130.859,898.034
1686714818.143,-43.457,-375.488,-24.414,-54.688,898.038
1686714818.147,5.859,-400.879,15.625,49.316,898.042
1686714818.151,-14.160,-226.074,82.520,-8.789,898.046
1686714818.154,-66.895,-148.926,20.996,-114.258,898.050
1686714818.158,-70.801,-767.578,-258.301,-76.660,898.054
1686714818.162,-11.719,-431.152,59.570,29.297,898.058
1686714818.166,7.812,171.387,194.336,13.672,898.062
1686714818.170,-41.504,-133.301,-31.250,-93.750,898.066
1686714818.173,-63.965,-309.570,-11.230,-99.121,898.069
1686714818.177,-14.648,-174.805,63.477,22.949,898.073
1686714818.181,21.484,-75.195,91.309,51.758,898.077
1686714818.185,-19.531,-210.449,-72.754,-59.570,898.080
1686714818.189,-68.359,-579.590,-94.727,-109.375,898.084
1686714818.193,-33.203,-484.863,62.988,-14.160,898.088
1686714818.197,28.320,-273.926,89.844,66.406,898.092
1686714818.200,-0.977,-430.664,-71.777,-21.973,898.096
1686714818.204,-65.430,-769.531,-143.555,-114.746,898.100
1686714818.208,-42.480,-190.918,164.551,-48.828,898.104
1686714818.212,17.090,20.996,104.492,49.316,898.108
1686714818.216,5.371,-509.277,-127.441,5.859,898.112
1686714818.216,-47.363,-549.805,-39.551,-104.492,898.111
1686714818.220,-50.781,-76.660,145.508,-84.473,898.115
1686714818.224,2.930,144.531,117.188,31.250,898.119
1686714818.228,16.113,-434.570,-183.594,25.879,898.123
1686714818.232,-33.691,-720.215,-133.301,-83.008,898.127
1686714818.236,-60.059,-467.285,64.941,-84.961,898.131
1686714818.240,-13.672,-331.543,62.988,24.902,898.135
1686714818.243,20.020,-734.863,-234.375,64.941,898.139
1686714818.247,-19.531,-777.344,-105.469,-41.504,898.143
