,timestamps,emg_signal
993,1694140959.6285408,434
994,1694140959.6441274,433
995,1694140959.6570864,433
996,1694140959.6688735,432
997,1694140959.685016,432
998,1694140959.6983044,433
999,1694140959.704319,432
1000,1694140959.722458,432
1001,1694140959.7393634,432
1002,1694140959.7407377,431
1003,1694140959.7581518,431
1004,1694140959.7744734,431
1005,1694140959.790109,431
1007,1694140959.808841,431
1006,1694140959.808841,431
1008,1694140959.823002,430
1009,1694140959.840149,431
1010,1694140959.8580718,430
1011,1694140959.874377,431
1012,1694140959.8903751,431
1013,1694140959.891707,431
1014,1694140959.908475,432
1015,1694140959.9218943,433
1016,1694140959.9395683,433
1017,1694140959.9571986,434
1018,1694140959.9730046,435
1019,1694140959.9890866,435
1020,1694140959.9890866,437
1021,1694140960.0046542,437
1022,1694140960.023696,439
1023,1694140960.0398746,440
1024,1694140960.055124,442
1025,1694140960.0682232,444
1026,1694140960.0840375,447
1027,1694140960.085932,452
1028,1694140960.1040363,460
1029,1694140960.1241198,469
1030,1694140960.125176,478
1031,1694140960.1428196,486
1032,1694140960.159114,494
1033,1694140960.1747477,501
1034,1694140960.1930294,506
1035,1694140960.1930294,511
1036,1694140960.2230518,515
1037,1694140960.2230518,518
1038,1694140960.2461758,521
1039,1694140960.2624702,522
1040,1694140960.2624702,523
1041,1694140960.2780058,522
1042,1694140960.2947145,521
1043,1694140960.3144062,518
1044,1694140960.3235123,515
1045,1694140960.3413246,512
1046,1694140960.3575532,510
1047,1694140960.3732493,506
1048,1694140960.3732493,504
1049,1694140960.388773,503
