,Unnamed: 0,timestamps,emg_signal
0,10679,1694141092.9515617,425.42174432201983
1,10680,1694141092.9533107,429.92481959005517
2,10681,1694141092.9707215,427.2459403784293
3,10682,1694141092.9878423,425.5594458879038
4,10683,1694141093.0034652,419.7469193199752
5,10684,1694141093.0188117,422.7184261525618
6,10685,1694141093.0350122,417.7592316172811
7,10686,1694141093.0513785,422.9037754162602
8,10687,1694141093.0513785,426.9689347566454
9,10688,1694141093.067034,428.968378592792
10,10689,1694141093.082658,425.4611750994678
11,10690,1694141093.0998368,420.0305656066459
12,10691,1694141093.116031,421.1795421610841
13,10692,1694141093.120015,424.1049307374528
14,10693,1694141093.138796,416.2534419927222
15,10694,1694141093.1558125,417.5796467470703
16,10695,1694141093.1714344,422.1280182938594
17,10696,1694141093.186567,422.015337083108
18,10697,1694141093.2026682,416.53449017358963
19,10698,1694141093.205269,415.92508497014023
20,10699,1694141093.2237294,420.8797290441272
21,10700,1694141093.240018,418.2273348835749
22,10701,1694141093.255984,426.0570110293879
23,10702,1694141093.255984,417.19812462389217
24,10703,1694141093.2720149,421.977018872547
25,10704,1694141093.287744,416.75869226210386
26,10705,1694141093.3059568,422.5557194531196
27,10706,1694141093.3229878,423.6816139877938
28,10707,1694141093.328471,413.1727899180831
29,10708,1694141093.3474514,420.28365440186695
30,10709,1694141093.3651967,417.75915879468505
31,10710,1694141093.3651967,422.92994350934316
32,10711,1694141093.3813035,415.19140264194453
33,10712,1694141093.396593,423.41426671965127
34,10713,1694141093.4122157,424.5863950283792
35,10714,1694141093.4232984,427.09856224735904
36,10715,1694141093.4402738,429.6464310402924
37,10716,1694141093.4559712,430.8251358177964
38,10717,1694141093.4715922,426.70642708908804
39,10718,1694141093.487214,432.14563853043717
40,10719,1694141093.4897678,431.5527948171649
41,10720,1694141093.50704,444.5354756540327
42,10721,1694141093.5245073,448.70590262250624
43,10722,1694141093.5434875,452.6994513280841
44,10723,1694141093.5434875,450.9096029785639
45,10724,1694141093.5650618,457.63730208910107
46,10725,1694141093.5773828,451.6622872862343
