,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1686190204.69,-110.352,268.555,106.934,-44.922,1044.583,320.46159081315255
1,1686190204.69,-251.465,66.406,45.41,-58.105,1044.587,316.4105004826814
2,1686190204.7,74.707,53.711,155.762,-2.93,1044.591,312.6272573185686
3,1686190204.7,271.484,281.738,205.078,20.508,1044.595,318.60166763547994
4,1686190204.7,-10.254,252.93,76.66,-25.391,1044.598,322.2663901215273
5,1686190204.71,-265.625,-160.156,-95.215,-54.199,1044.602,320.8645513752719
6,1686190204.71,-56.641,-708.984,-270.02,-6.836,1044.606,316.1019342347605
7,1686190204.71,222.656,-741.211,-166.016,25.391,1044.61,310.63963565153887
8,1686190204.72,72.754,-140.625,107.422,-16.602,1044.614,315.9939942672004
9,1686190204.72,-238.77,-92.773,-18.066,-53.223,1044.618,315.65618083484856
10,1686190204.73,-123.047,-276.855,-32.715,-26.855,1044.622,312.46738964478004
11,1686190204.73,230.957,116.211,157.227,23.926,1044.626,321.49434894277977
12,1686190204.73,194.824,505.859,214.844,4.395,1044.643,317.2741192527869
13,1686190204.74,-166.992,106.934,-9.766,-51.27,1044.646,316.3321026570295
14,1686190204.74,-235.352,-637.207,-219.238,-48.34,1044.65,316.79892134081217
15,1686190204.74,122.559,-190.918,74.707,-3.906,1044.654,315.99304111744254
16,1686190204.75,246.582,458.984,219.727,9.277,1044.658,323.13004874380283
17,1686190204.75,-93.262,-192.383,-139.648,-36.133,1044.662,310.7090266185857
18,1686190204.76,-271.484,-811.523,-331.543,-49.805,1044.666,325.37109925733097
19,1686190204.76,47.363,-82.52,115.234,-4.395,1044.67,324.8146476660775
20,1686190204.76,277.832,614.746,300.781,20.02,1044.674,317.1776753256001
21,1686190204.77,-1.953,-103.027,-101.074,-21.484,1044.678,320.1106466276117
22,1686190204.77,-297.363,-583.496,-238.281,-64.453,1044.682,317.9946769814601
23,1686190204.78,-79.59,131.836,158.203,-39.062,1044.685,313.82486183212774
24,1686190204.79,247.07,524.414,241.699,4.395,1044.688,315.8252202410561
25,1686190204.8,92.285,143.066,75.195,-24.902,1044.692,314.70093843745144
26,1686190204.8,-250.0,-139.16,13.184,-65.918,1044.696,322.5822118845003
27,1686190204.8,-171.387,128.906,144.043,-39.551,1044.7,321.9101467233232
28,1686190204.81,187.012,400.391,227.051,4.883,1044.704,313.3982661699729
29,1686190204.81,176.27,35.645,27.344,-11.719,1044.708,319.7600304616255
30,1686190204.82,-184.082,-487.305,-198.73,-71.289,1044.711,314.5033115985196
31,1686190204.82,-248.047,-407.227,-142.09,-78.125,1044.715,314.1620967434642
32,1686190204.82,119.141,167.969,114.258,-24.902,1044.719,318.0698231569729
33,1686190204.83,240.234,-292.969,-111.816,1.953,1044.723,314.2893571600385
34,1686190204.83,-92.773,-847.168,-328.125,-36.621,1044.727,311.3760894068453
35,1686190204.84,-266.602,-269.531,-60.059,-62.5,1044.731,316.60724417772735
36,1686190204.85,18.555,-139.648,21.484,-13.672,1044.748,319.5322661873545
37,1686190204.86,270.508,-76.172,129.395,21.484,1044.752,321.26300630358605
38,1686190204.86,43.457,136.719,141.602,-18.066,1044.756,324.01622570398354
39,1686190204.86,-263.184,154.785,51.758,-56.152,1044.76,319.4263330169473
40,1686190204.87,-93.75,-54.688,21.973,-19.531,1044.764,319.9071942030352
41,1686190204.87,244.629,-134.766,50.293,22.949,1044.768,317.6285978623015
42,1686190204.88,145.02,6.836,87.891,-8.301,1044.772,317.34183931740824
43,1686190204.88,-204.59,170.898,111.816,-63.965,1044.775,318.35474454787885
44,1686190204.88,-256.348,-223.633,-47.363,-59.082,1044.782,314.6580284614581
45,1686190204.88,-189.453,-257.812,-114.258,-52.734,1044.779,318.2124498629555
46,1686190204.89,67.871,4.883,92.773,-10.254,1044.786,314.5080596148259
47,1686190204.89,153.809,-591.309,-111.816,-0.488,1044.783,316.0401588914713
48,1686190204.89,236.328,192.383,128.418,9.277,1044.79,317.2795476121291
49,1686190204.89,208.008,119.629,198.242,-10.742,1044.787,316.6898610135115
50,1686190204.89,-47.363,45.898,34.668,-34.668,1044.794,321.7239219046771
51,1686190204.9,-130.859,219.727,73.73,-59.57,1044.791,320.6548913884556
52,1686190204.9,-281.738,-420.898,-117.188,-59.57,1044.798,309.4876822424293
53,1686190204.9,-25.879,-514.16,-31.25,-19.531,1044.802,315.6016965577723
54,1686190204.9,268.066,-35.645,131.348,10.254,1044.806,315.35265551724177
55,1686190204.91,52.246,-157.715,-6.348,-22.461,1044.81,315.37964817295295
56,1686190204.91,-271.973,-483.887,-152.832,-61.523,1044.814,317.2187922988568
57,1686190204.92,-119.141,-187.5,28.32,-26.855,1044.817,319.69453729393666
58,1686190204.92,234.375,409.18,218.262,18.555,1044.821,316.77098422346876
59,1686190204.92,178.711,360.84,148.926,-2.93,1044.825,314.1444565461953
60,1686190204.93,-193.359,-611.816,-317.871,-37.109,1044.823,319.6313764950143
61,1686190204.93,-222.656,-772.461,-281.25,-38.574,1044.827,316.559028147777
62,1686190204.94,144.531,275.879,243.652,-8.301,1044.831,325.6731515317223
63,1686190204.94,225.586,332.52,106.934,-6.348,1044.835,321.3090284931158
64,1686190204.94,-116.699,-134.277,-75.684,-54.199,1044.839,319.83800755601516
65,1686190204.95,-258.789,-295.41,-57.617,-53.711,1044.843,311.9360844564214
66,1686190204.95,63.965,-134.277,58.105,-0.977,1044.847,313.43856240475696
67,1686190204.95,258.789,-66.895,41.504,5.371,1044.851,318.9401588400722
68,1686190204.96,-30.273,-746.582,-292.969,-37.598,1044.854,320.69958125716875
69,1686190204.96,-277.344,-534.668,-112.793,-62.5,1044.858,321.74079464115556
70,1686190204.97,-29.297,267.578,217.773,-17.578,1044.862,312.5453625765199
71,1686190204.97,267.578,271.973,152.344,20.508,1044.866,315.1381124417227
72,1686190204.97,98.633,152.344,104.98,-17.578,1044.868,317.3558166624913
73,1686190204.98,-233.398,125.0,67.871,-62.012,1044.872,316.3752756248659
74,1686190204.98,-142.09,98.145,78.613,-38.574,1044.876,313.54237349854475
75,1686190204.98,198.242,135.254,182.617,7.324,1044.88,315.5712334219656
76,1686190204.99,170.41,229.492,207.52,-11.23,1044.884,317.902052352864
77,1686190204.99,-176.27,-89.355,-29.297,-62.5,1044.888,324.8384662537446
78,1686190204.99,-232.422,-350.586,-147.461,-62.5,1044.892,317.7132357599331
79,1686190205.0,102.051,-562.5,-135.254,2.93,1044.895,316.78582249771677
80,1686190205.0,194.336,-1000.0,-295.41,22.461,1044.899,317.8477821872365
81,1686190205.01,-117.676,-378.418,-25.879,-45.41,1044.903,324.1201908796466
82,1686190205.01,-277.344,53.223,67.383,-68.848,1044.907,317.0047427157893
83,1686190205.01,14.16,-8.789,58.594,-30.273,1044.911,323.9067335791139
84,1686190205.05,253.418,382.324,200.195,-8.301,1044.958,322.9581996935515
85,1686190205.05,9.766,482.91,172.363,-39.062,1044.962,318.08139898220077
86,1686190205.06,-284.668,20.996,-7.812,-64.941,1044.966,321.6215441363057
87,1686190205.06,-90.82,-45.898,15.625,-34.668,1044.97,315.27358783037823
88,1686190205.06,196.289,209.473,162.598,-1.465,1044.974,317.8439331068305
89,1686190205.06,95.215,221.68,220.215,-19.043,1044.967,323.6679903721986
90,1686190205.07,54.688,6.348,69.824,-30.762,1044.977,317.43748212247317
91,1686190205.07,252.93,472.168,218.262,5.371,1044.971,317.5175630078577
92,1686190205.07,-261.23,-447.266,-218.75,-79.59,1044.981,317.54148534794393
93,1686190205.07,-76.172,-28.809,-14.16,-40.039,1044.975,317.4666765615623
94,1686190205.07,-218.262,-752.441,-310.547,-56.641,1044.985,315.8194336121269
95,1686190205.08,-283.203,-187.5,-17.578,-60.059,1044.979,320.5559642933557
96,1686190205.08,170.41,32.227,134.277,2.441,1044.989,314.55627069984826
97,1686190205.08,10.254,202.637,168.945,-8.301,1044.982,318.24180205462574
98,1686190205.08,191.895,548.828,254.883,-11.719,1044.993,316.5455108748134
99,1686190205.08,254.395,193.359,134.277,13.672,1044.986,318.6498214552457
100,1686190205.09,-178.223,-308.594,-159.18,-62.5,1044.997,321.05990900691216
101,1686190205.09,20.996,-239.746,-69.824,-32.715,1044.99,319.8554064375017
102,1686190205.09,-265.137,-626.465,-200.684,-64.941,1045.001,321.5423595946684
103,1686190205.09,-287.598,-532.715,-202.637,-71.777,1044.994,313.59589060103906
104,1686190205.1,-122.07,-56.152,85.938,-48.34,1044.998,319.708506336512
105,1686190205.1,223.145,358.398,205.566,3.418,1045.002,314.9535024661183
106,1686190205.1,127.93,-39.551,-24.414,-15.137,1045.006,316.3806106026852
107,1686190205.11,-219.238,-201.66,-37.109,-62.5,1045.01,317.6704756592542
108,1686190205.17,-195.312,-107.422,23.438,-44.434,1045.063,314.277879520775
109,1686190205.17,-236.816,129.883,73.242,-64.453,1045.069,321.54109251696445
110,1686190205.17,159.18,-62.5,48.34,0.0,1045.067,325.4237129541613
111,1686190205.18,187.5,-488.281,-71.777,2.441,1045.071,320.5004826250841
112,1686190205.18,-125.488,-82.52,50.781,-39.062,1045.073,323.9233245817821
113,1686190205.18,208.984,148.438,141.602,3.418,1045.077,316.889422216352
114,1686190205.18,-151.855,-446.289,-40.527,-46.387,1045.075,315.93122884490975
115,1686190205.18,144.043,206.543,125.977,-11.23,1045.081,314.94828570513795
116,1686190205.18,-254.883,18.555,50.781,-62.5,1045.079,320.7166440280347
117,1686190205.19,-202.637,-36.133,4.395,-52.246,1045.084,319.17610460920446
118,1686190205.19,69.824,-116.211,36.133,-13.672,1045.083,319.0907134569342
119,1686190205.19,234.375,-722.168,-235.352,16.113,1045.087,320.5572613269924
120,1686190205.19,-215.332,-393.555,-121.094,-41.504,1045.088,320.45895866560414
121,1686190205.19,-65.918,-979.492,-322.266,-34.18,1045.091,319.43894997092883
122,1686190205.19,133.789,-330.078,-9.766,15.137,1045.092,319.72137832888177
123,1686190205.2,-277.344,-227.539,50.293,-71.289,1045.095,318.69097415563493
124,1686190205.2,237.793,57.617,154.297,24.902,1045.096,314.67391235105595
125,1686190205.2,-29.297,13.184,63.477,-32.715,1045.099,315.6302477265989
126,1686190205.2,-90.82,74.219,36.133,-28.809,1045.1,319.9907568048182
127,1686190205.21,251.953,141.602,109.375,5.371,1045.102,318.859043353572
128,1686190205.21,-273.438,-500.977,-204.59,-45.41,1045.104,315.26233268123184
129,1686190205.21,26.855,-313.965,20.508,-6.348,1045.108,315.4481863699179
130,1686190205.21,84.473,376.465,170.898,-22.461,1045.106,314.9651316126728
131,1686190205.21,-17.09,222.656,26.367,-31.738,1045.108,318.665538787356
132,1686190205.21,252.441,558.105,284.18,9.766,1045.112,316.38988885052146
133,1686190205.22,-287.109,-367.188,-97.168,-65.918,1045.112,314.8843424593733
134,1686190205.22,-65.43,-17.09,149.414,-35.156,1045.116,316.6756212649527
135,1686190205.22,245.117,536.621,261.23,2.441,1045.12,313.01330525998907
136,1686190205.23,83.496,166.016,6.836,-28.32,1045.124,320.35826432463915
137,1686190205.23,-257.812,-607.91,-302.734,-73.73,1045.128,313.53987818291193
138,1686190205.24,-158.203,-514.16,-102.539,-35.645,1045.132,323.64508181878625
139,1686190205.24,202.637,140.137,219.238,12.207,1045.136,323.6383304405118
140,1686190205.24,167.48,125.488,67.383,-16.113,1045.14,315.194333962321
141,1686190205.25,-226.074,-799.316,-457.031,-64.453,1045.143,316.3434515940932
142,1686190205.25,-309.57,-1000.0,-522.461,-56.152,1045.147,319.15801670352266
143,1686190205.26,65.43,-304.688,-12.695,-12.207,1045.151,314.4923624410221
144,1686190205.26,220.215,211.914,157.227,-4.883,1045.153,324.56873848346913
145,1686190205.26,-90.332,4.883,33.691,-42.969,1045.157,315.82664001010244
146,1686190205.26,-261.23,139.16,94.727,-56.641,1045.161,310.9274836017588
147,1686190205.27,37.109,319.336,151.367,-7.324,1045.165,311.9061104412591
148,1686190205.27,266.113,359.863,234.375,18.555,1045.169,312.8840008660073
149,1686190205.28,15.625,-4.395,67.383,-25.391,1045.173,308.94546498538483
150,1686190205.28,-274.902,-340.82,-141.602,-59.082,1045.177,316.75019934936654
151,1686190205.28,-89.355,-142.09,33.203,-26.855,1045.18,308.09674270305885
152,1686190205.29,217.285,-378.906,-41.992,18.555,1045.184,319.7264581790874
153,1686190205.29,73.242,-1000.0,-321.289,-4.395,1045.188,312.61845013098423
154,1686190205.3,-239.746,-358.887,-12.207,-61.523,1045.192,317.47538483182973
155,1686190205.3,-175.293,142.09,112.305,-41.992,1045.196,315.8899193206899
