,Unnamed: 0,timestamps,emg_signal
0,10679,1694141092.9515617,420.96120094770976
1,10680,1694141092.9533107,424.4088575383787
2,10681,1694141092.9707215,423.05809527182714
3,10682,1694141092.9878423,424.770657512052
4,10683,1694141093.0034652,425.45169932918594
5,10684,1694141093.0188117,425.6110910477126
6,10685,1694141093.0350122,418.587914584231
7,10686,1694141093.0513785,421.15272082127643
8,10687,1694141093.0513785,421.19512515785493
9,10688,1694141093.067034,416.6766670216298
10,10689,1694141093.082658,420.25698895598396
11,10690,1694141093.0998368,422.46629070026046
12,10691,1694141093.116031,417.27938806839484
13,10692,1694141093.120015,419.0172903813258
14,10693,1694141093.138796,413.9493581977567
15,10694,1694141093.1558125,417.68977504568517
16,10695,1694141093.1714344,417.5803450606623
17,10696,1694141093.186567,419.43122824928065
18,10697,1694141093.2026682,420.2343824566762
19,10698,1694141093.205269,411.7588870558716
20,10699,1694141093.2237294,418.44174316972953
21,10700,1694141093.240018,423.12966538014166
22,10701,1694141093.255984,415.4742319271621
23,10702,1694141093.255984,422.75247519872227
24,10703,1694141093.2720149,416.9784148476914
25,10704,1694141093.287744,419.82536407959884
26,10705,1694141093.3059568,421.1026405902596
27,10706,1694141093.3229878,420.43750844219505
28,10707,1694141093.328471,416.54710762282565
29,10708,1694141093.3474514,430.0108900990867
30,10709,1694141093.3651967,420.2738976262117
31,10710,1694141093.3651967,422.0625982994878
32,10711,1694141093.3813035,422.9248592076809
33,10712,1694141093.396593,418.6102448317792
34,10713,1694141093.4122157,423.2337658549035
35,10714,1694141093.4232984,419.9663927829469
36,10715,1694141093.4402738,420.70172125725736
37,10716,1694141093.4559712,427.91886822051833
38,10717,1694141093.4715922,432.40410233016826
39,10718,1694141093.487214,434.69536595591467
40,10719,1694141093.4897678,436.66684279814814
41,10720,1694141093.50704,445.16266328978276
42,10721,1694141093.5245073,443.83643276038754
43,10722,1694141093.5434875,450.3744982214837
44,10723,1694141093.5434875,449.43255929675666
45,10724,1694141093.5650618,450.87397068220946
46,10725,1694141093.5773828,450.8702080194482
