,timestamps,emg_signal
6598,1694141036.7775438,424
6599,1694141036.794838,424
6600,1694141036.7989247,424
6601,1694141036.8188226,425
6602,1694141036.826718,425
6603,1694141036.8467474,425
6605,1694141036.863829,425
6604,1694141036.863829,425
6606,1694141036.8794987,425
6607,1694141036.8978636,426
6608,1694141036.9175584,426
6609,1694141036.9282577,426
6610,1694141036.944374,426
6611,1694141036.944374,426
6612,1694141036.9752512,426
6613,1694141036.9752512,427
6614,1694141036.9931462,427
6615,1694141037.012017,427
6616,1694141037.0278387,427
6617,1694141037.029968,427
6618,1694141037.0464644,428
6619,1694141037.0620708,428
6620,1694141037.077705,428
6621,1694141037.093259,427
6622,1694141037.1086192,427
6623,1694141037.1253738,427
6624,1694141037.1377654,427
6625,1694141037.1494212,426
6626,1694141037.1660068,426
6627,1694141037.1772804,425
6628,1694141037.180557,424
6629,1694141037.196764,424
6630,1694141037.214049,425
6631,1694141037.2299323,425
6632,1694141037.2468977,425
6633,1694141037.2619438,426
6634,1694141037.2619438,427
6635,1694141037.2796907,428
6636,1694141037.296235,428
6637,1694141037.31223,428
6639,1694141037.331404,428
6638,1694141037.331404,428
6640,1694141037.351369,428
6641,1694141037.3707223,428
6642,1694141037.3732936,428
6643,1694141037.3894763,428
