,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1686016981.73,-48.828,311.523,247.07,-57.129,118746.168,326.2908234205341
1,1686016981.74,-51.758,148.926,54.199,-63.965,118746.172,329.25662896903236
2,1686016981.74,-37.109,-138.672,-9.277,-40.527,118746.175,329.1567660871141
3,1686016981.74,-23.926,166.992,124.512,-14.648,118746.179,328.6698564689343
4,1686016981.75,-35.156,313.477,129.395,-26.367,118746.183,329.67688874280424
5,1686016981.75,-57.617,-216.309,-168.457,-38.574,118746.187,327.37166792629085
6,1686016981.76,-48.828,-490.723,-101.562,-19.043,118746.191,326.4175214539283
7,1686016981.76,-31.25,86.426,195.312,0.488,118746.195,327.4723150587337
8,1686016981.76,-21.484,307.129,136.23,8.789,118746.199,324.8456131267102
9,1686016981.77,-27.832,-218.262,-125.977,8.789,118746.203,331.1163387767828
10,1686016981.77,-54.688,-848.633,-312.988,18.555,118746.207,326.2308361578974
11,1686016981.78,-36.621,-334.961,84.961,43.945,118746.211,326.88279957526953
12,1686016981.78,-22.461,73.242,196.289,53.711,118746.212,330.7495034201811
13,1686016981.78,-40.527,-346.191,-9.766,25.391,118746.216,321.3469750635409
14,1686016981.79,-41.992,-539.551,-0.977,16.113,118746.22,334.0485235259514
15,1686016981.79,-27.832,93.262,204.59,32.715,118746.224,320.23472375588346
16,1686016981.79,-11.23,423.828,224.121,42.969,118746.228,326.6892001589161
17,1686016981.8,-14.16,-162.109,-61.523,29.785,118746.232,329.64031421642613
18,1686016981.8,-23.438,-414.062,-83.008,1.465,118746.235,326.56741702375484
19,1686016981.8,-15.625,102.051,176.27,3.418,118746.239,330.97189729412946
20,1686016981.81,-5.371,107.422,119.141,23.926,118746.243,332.0060906077332
21,1686016981.81,-3.906,-438.965,-141.602,24.902,118746.247,331.2662387827108
22,1686016981.82,-5.859,-380.371,-12.695,7.812,118746.251,329.25211102422804
23,1686016981.82,-15.137,22.461,158.203,12.695,118746.255,327.9374075436648
24,1686016981.84,-3.418,-132.812,67.383,37.109,118746.258,331.15225350837886
25,1686016981.84,5.371,-307.129,23.926,33.203,118746.262,330.09962550985733
26,1686016981.84,-13.184,-26.855,103.027,12.207,118746.266,320.8078205535702
27,1686016981.85,-16.602,226.562,157.715,10.742,118746.27,333.26482954886137
28,1686016981.85,0.0,107.91,94.727,27.344,118746.274,335.4342416144883
29,1686016981.86,1.465,-699.219,-210.449,36.621,118746.277,323.83008692800075
30,1686016981.86,-22.949,-513.184,-7.812,20.02,118746.281,328.38642047027247
31,1686016981.86,-27.344,189.453,199.707,12.207,118746.285,325.7120816258146
32,1686016981.87,-9.766,-38.086,24.902,18.066,118746.289,330.95888754387136
33,1686016981.87,-5.371,-328.125,0.977,22.949,118746.293,335.2162194745578
34,1686016981.88,-17.578,44.922,128.906,15.137,118746.297,329.9130581668091
35,1686016981.88,-24.414,154.785,87.402,-8.301,118746.301,327.78885697197586
36,1686016981.88,-19.043,-353.516,-123.047,-4.395,118746.307,332.24034490120926
37,1686016981.89,-14.16,-585.938,-46.387,20.508,118746.311,329.7173983600358
38,1686016981.89,-13.672,-182.129,147.949,15.625,118746.314,327.6104445376783
39,1686016981.9,-17.578,111.816,140.625,-2.93,118746.318,324.4491888232324
40,1686016981.9,-12.695,-175.781,2.441,14.16,118746.322,325.14438835131483
41,1686016981.9,16.113,-465.332,13.672,43.457,118746.326,325.368721863925
42,1686016981.91,18.555,-66.895,175.781,34.668,118746.33,324.2803363794818
43,1686016981.91,-4.395,238.281,154.297,8.301,118746.334,335.47584827809624
44,1686016981.91,-9.277,-429.688,-206.543,11.23,118746.338,330.23049591554945
45,1686016981.92,6.836,-527.344,-67.871,23.438,118746.342,331.8938705589399
46,1686016981.92,4.395,299.316,258.789,14.16,118746.346,334.43185784651496
47,1686016981.93,-2.93,210.449,76.66,12.207,118746.35,329.35060858336675
48,1686016981.93,7.812,-199.707,-17.09,17.578,118746.348,334.23816082064724
49,1686016981.93,13.184,97.656,141.113,13.184,118746.352,337.6160928115944
50,1686016981.94,-1.953,416.016,198.242,9.277,118746.356,325.73265643126996
51,1686016981.94,-15.137,199.707,58.105,-1.465,118746.36,333.3630800741104
52,1686016981.94,-12.695,-284.668,-117.676,-16.602,118746.364,323.63589446416483
53,1686016981.95,-2.93,-326.66,-54.199,-10.742,118746.368,331.32512182603483
