,Unnamed: 0,timestamps,emg_signal
0,10679,1694141092.9515617,429.36379604752466
1,10680,1694141092.9533107,426.34901923945057
2,10681,1694141092.9707215,417.4957855069432
3,10682,1694141092.9878423,422.7536037821652
4,10683,1694141093.0034652,422.48572014851476
5,10684,1694141093.0188117,426.4306857713582
6,10685,1694141093.0350122,420.2543747990342
7,10686,1694141093.0513785,421.93303593537007
8,10687,1694141093.0513785,423.11468762259136
9,10688,1694141093.067034,423.11916150791626
10,10689,1694141093.082658,416.3852524569677
11,10690,1694141093.0998368,418.72965200044007
12,10691,1694141093.116031,415.51923843391677
13,10692,1694141093.120015,421.01787663120695
14,10693,1694141093.138796,421.1544922068483
15,10694,1694141093.1558125,414.05629607790195
16,10695,1694141093.1714344,419.4409948420508
17,10696,1694141093.186567,420.62555168947216
18,10697,1694141093.2026682,419.3056226018502
19,10698,1694141093.205269,418.2451486566172
20,10699,1694141093.2237294,417.6463493834471
21,10700,1694141093.240018,423.00608403155735
22,10701,1694141093.255984,415.0273320567136
23,10702,1694141093.255984,418.9129393739055
24,10703,1694141093.2720149,421.8930214266802
25,10704,1694141093.287744,425.4328049478003
26,10705,1694141093.3059568,420.81478866372487
27,10706,1694141093.3229878,422.36994342689013
28,10707,1694141093.328471,426.4984920459824
29,10708,1694141093.3474514,418.22691968994314
30,10709,1694141093.3651967,422.8297717430843
31,10710,1694141093.3651967,424.6890934388269
32,10711,1694141093.3813035,420.05086736556564
33,10712,1694141093.396593,420.8439317259631
34,10713,1694141093.4122157,423.32516107431377
35,10714,1694141093.4232984,427.23657419895164
36,10715,1694141093.4402738,428.5285968453015
37,10716,1694141093.4559712,431.018848311229
38,10717,1694141093.4715922,428.1573283010977
39,10718,1694141093.487214,433.9539549596487
40,10719,1694141093.4897678,432.45494478399155
41,10720,1694141093.50704,438.5302727130709
42,10721,1694141093.5245073,442.2361980489832
43,10722,1694141093.5434875,447.72019061409924
44,10723,1694141093.5434875,455.88638279482814
45,10724,1694141093.5650618,454.67402864845656
46,10725,1694141093.5773828,450.2115392503161
