,timestamps,emg_signal
2392,1693620475.510496,414
2393,1693620475.5192428,414
2394,1693620475.5371065,413
2395,1693620475.5544434,414
2396,1693620475.5544434,414
2397,1693620475.5786204,415
2398,1693620475.5947037,415
2399,1693620475.6005833,414
2400,1693620475.6175628,413
2401,1693620475.6344428,412
2402,1693620475.647494,412
2403,1693620475.664009,411
2404,1693620475.6652784,410
2405,1693620475.680827,409
2406,1693620475.70007,407
2407,1693620475.7162983,405
2408,1693620475.7200654,404
2409,1693620475.745325,402
2410,1693620475.748463,401
2411,1693620475.7657812,401
2412,1693620475.7793262,400
