timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1685917475.347,-65.918,-41.992,-178.223,-36.621,19225.450
1685917475.351,-47.852,24.902,-77.148,-34.180,19225.454
1685917475.351,8.789,316.895,80.078,-28.809,19225.453
1685917475.355,-4.395,92.285,-56.152,-36.621,19225.457
1685917475.359,-74.707,-349.609,-273.926,-48.340,19225.461
1685917475.363,-68.848,-139.648,-132.324,-36.133,19225.465
1685917475.367,11.719,294.434,86.914,-21.973,19225.469
1685917475.371,16.602,136.230,-30.762,-28.320,19225.473
1685917475.374,-70.801,-666.992,-445.801,-42.480,19225.477
1685917475.378,-88.379,-964.355,-457.031,-39.551,19225.481
1685917475.382,-15.137,-7.812,60.059,-29.297,19225.485
1685917475.386,20.508,306.641,31.738,-32.227,19225.488
1685917475.390,-24.414,31.738,-114.258,-38.574,19225.492
1685917475.394,-73.242,282.227,72.266,-40.039,19225.496
1685917475.396,-24.902,249.023,28.320,-24.902,19225.524
1685917475.400,30.762,-15.137,-86.914,-7.812,19225.528
1685917475.404,-4.395,159.180,15.137,-22.949,19225.532
1685917475.408,-69.824,160.645,-14.648,-40.527,19225.536
1685917475.412,-49.805,-35.645,-154.785,-24.902,19225.540
1685917475.416,17.090,-371.582,-294.922,-9.766,19225.544
1685917475.419,2.930,-809.082,-349.609,-21.484,19225.548
1685917475.423,-59.570,-150.391,-15.625,-39.062,19225.552
1685917475.427,-69.336,237.305,20.020,-38.086,19225.556
1685917475.431,-4.395,83.008,-24.902,-27.832,19225.559
1685917475.435,23.438,271.484,57.617,-17.578,19225.563
1685917475.439,-43.457,379.883,68.359,-25.391,19225.567
1685917475.455,-87.891,166.504,-26.367,-40.527,19225.555
1685917475.459,-29.297,-221.191,-181.641,-23.438,19225.558
1685917475.463,13.184,-78.613,-83.984,-11.719,19225.562
1685917475.467,-33.203,328.613,107.422,-32.715,19225.566
1685917475.471,-83.496,175.781,-13.184,-37.109,19225.570
1685917475.475,-55.176,-478.516,-241.699,-21.973,19225.574
1685917475.478,11.230,-475.098,-121.094,-20.020,19225.578
1685917475.482,1.953,117.188,81.543,-35.156,19225.582
1685917475.486,-75.195,-4.395,-96.680,-44.434,19225.586
1685917475.490,-64.453,-270.020,-198.730,-41.016,19225.590
1685917475.494,30.273,145.996,70.801,-13.672,19225.594
1685917475.498,21.484,473.633,162.109,-16.113,19225.598
1685917475.501,-79.590,-6.348,-174.805,-55.176,19225.599
1685917475.505,-100.586,-805.176,-438.477,-60.059,19225.603
1685917475.509,-24.902,-201.172,13.184,-40.527,19225.607
1685917475.513,17.090,407.227,152.832,-26.367,19225.611
1685917475.517,-34.668,-9.766,-101.074,-38.574,19225.615
1685917475.521,-93.262,-388.184,-263.672,-41.992,19225.619
1685917475.524,-49.805,-126.953,-59.570,-26.855,19225.623
1685917475.528,17.090,393.066,155.762,-23.438,19225.627
1685917475.532,-29.785,-284.668,-231.934,-29.785,19225.631
1685917475.536,-91.309,-778.320,-380.859,-27.344,19225.635
1685917475.540,-53.711,90.820,52.246,-29.785,19225.639
1685917475.544,5.859,348.145,80.566,-34.180,19225.642
1685917475.546,-11.719,23.926,-99.121,-44.922,19225.645
1685917475.550,-89.355,-296.387,-249.512,-49.805,19225.649
1685917475.554,-88.379,-101.074,-94.727,-37.109,19225.653
1685917475.558,-5.859,231.445,22.949,-18.555,19225.657
1685917475.562,1.465,-198.730,-138.672,-21.973,19225.660
1685917475.566,-73.242,-471.680,-250.488,-41.992,19225.664
1685917475.569,-94.238,-119.629,-81.543,-43.457,19225.668
1685917475.573,-21.484,111.816,41.504,-20.508,19225.672
1685917475.577,15.137,-373.047,-163.574,-14.648,19225.676
1685917475.581,-42.969,-175.293,-15.625,-35.156,19225.680
1685917475.585,-81.055,355.957,99.121,-48.828,19225.684
1685917475.589,-34.180,-29.785,-104.004,-30.762,19225.688
1685917475.590,17.578,-102.539,-102.051,-20.508,19225.689
1685917475.594,-15.625,312.988,90.332,-35.156,19225.693
1685917475.598,-74.707,319.336,83.008,-38.574,19225.697
1685917475.602,-53.711,-95.703,-45.898,-25.879,19225.701
1685917475.606,13.672,-122.559,-63.477,-13.184,19225.705
1685917475.610,0.977,28.809,-5.371,-24.902,19225.709
1685917475.613,-69.824,-89.355,-96.191,-39.062,19225.713
1685917475.617,-76.172,-551.270,-348.633,-26.367,19225.717
1685917475.621,-1.465,-636.230,-231.934,-13.184,19225.721
1685917475.625,33.691,286.621,147.949,-11.230,19225.725
