timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1686016982.154,-36.621,139.648,181.641,-36.621,118746.578
1686016982.158,-25.391,50.293,81.055,-25.391,118746.582
1686016982.162,-18.555,80.078,156.738,-21.973,118746.586
1686016982.166,-20.508,79.102,72.266,-30.273,118746.590
1686016982.152,-30.273,-211.426,-104.492,-27.832,118746.588
1686016982.156,-21.973,-381.348,-125.977,-4.883,118746.592
1686016982.160,-7.812,-540.527,-41.504,0.977,118746.596
1686016982.164,-15.137,-241.699,91.309,-20.996,118746.599
1686016982.168,-25.391,27.832,118.164,-24.414,118746.603
1686016982.172,-15.625,-318.359,-7.812,4.883,118746.607
1686016982.175,-4.883,-304.199,80.078,7.324,118746.611
1686016982.179,-14.648,163.574,169.922,-19.043,118746.615
1686016982.183,-25.391,213.379,124.512,-27.832,118746.619
1686016982.187,-20.508,-486.816,-194.336,-4.883,118746.623
1686016982.191,-8.789,-782.227,-163.574,21.973,118746.627
1686016982.195,-11.719,103.027,231.934,13.672,118746.631
1686016982.212,-30.273,147.461,98.633,-12.207,118746.633
1686016982.216,-35.156,-208.984,11.719,-12.207,118746.637
1686016982.220,-34.180,87.402,139.160,5.859,118746.641
1686016982.224,-36.133,360.352,176.758,6.348,118746.645
1686016982.228,-47.363,90.820,-27.832,-3.906,118746.649
1686016982.232,-44.922,-486.816,-148.438,7.324,118746.653
1686016982.235,-19.043,-406.738,20.508,38.086,118746.657
1686016982.239,-17.090,-31.250,148.438,36.133,118746.661
1686016982.243,-40.039,-178.223,-14.160,6.348,118746.664
1686016982.247,-46.387,-837.891,-315.918,11.719,118746.668
1686016982.251,-25.879,-343.750,62.012,41.992,118746.672
1686016982.255,-11.230,401.367,290.527,60.059,118746.676
1686016982.257,-22.949,-145.508,-17.578,60.547,118746.678
1686016982.261,-20.996,-607.910,-60.547,52.246,118746.682
1686016982.265,-8.789,-37.598,141.602,56.641,118746.686
1686016982.269,0.977,277.832,182.129,70.801,118746.690
1686016982.273,-1.953,6.836,27.344,67.383,118746.694
1686016982.277,-13.672,-391.113,-169.434,48.828,118746.697
1686016982.280,-18.555,-300.293,-49.316,45.410,118746.701
1686016982.284,-12.695,166.016,154.297,56.641,118746.705
1686016982.288,-2.930,-363.770,-169.922,62.500,118746.709
1686016982.292,-11.719,-868.652,-236.816,50.781,118746.713
1686016982.296,-21.973,-46.387,195.312,29.785,118746.717
1686016982.300,-12.207,251.465,174.316,40.039,118746.721
1686016982.302,1.953,-83.496,31.250,47.852,118746.723
1686016982.306,-7.324,65.918,107.910,31.250,118746.727
1686016982.310,-27.832,204.590,125.488,9.766,118746.731
1686016982.314,-29.297,93.750,62.500,10.742,118746.735
1686016982.318,-20.508,-37.598,28.320,26.367,118746.739
1686016982.322,-24.414,-203.613,-6.836,19.531,118746.742
1686016982.325,-45.898,-167.480,0.488,1.953,118746.746
1686016982.329,-56.152,-145.996,-18.066,-6.348,118746.750
1686016982.333,-39.551,-722.168,-208.984,22.949,118746.754
1686016982.337,-30.762,-226.562,62.012,27.832,118746.758
1686016982.341,-32.227,227.539,171.875,0.977,118746.762
1686016982.345,-32.227,-362.793,-127.441,-1.465,118746.766
1686016982.347,-23.926,-758.789,-188.477,13.184,118746.768
1686016982.351,-15.137,-33.691,170.898,2.930,118746.772
1686016982.355,-13.184,268.066,151.367,-16.113,118746.776
1686016982.359,-11.230,-204.590,-64.941,-15.137,118746.780
1686016982.363,-5.859,-112.305,72.754,-6.836,118746.784
1686016982.367,-5.371,-4.395,125.488,-1.465,118746.788
1686016982.370,-18.066,-144.043,41.504,-13.672,118746.792
1686016982.374,-32.227,-552.734,-237.305,-24.414,118746.795
1686016982.378,-31.250,-626.465,-117.188,-17.578,118746.799
1686016982.382,-19.531,203.613,268.555,-6.348,118746.803
1686016982.386,-20.508,288.574,147.461,-19.531,118746.807
1686016982.390,-28.809,-369.629,-151.855,-41.992,118746.811
1686016982.393,-29.297,-182.129,-7.812,-30.762,118746.815
1686016982.397,-23.438,79.102,130.859,-9.277,118746.819
1686016982.401,-20.508,-205.566,-30.273,-11.230,118746.823
1686016982.405,-29.785,-553.223,-146.973,-24.414,118746.827
1686016982.409,-24.414,-231.445,34.180,-28.320,118746.831
1686016982.413,-23.438,-83.008,96.191,-20.020,118746.835
1686016982.416,-32.715,-269.043,18.066,-17.578,118746.839
1686016982.420,-35.156,-726.562,-209.473,-36.621,118746.843
1686016982.424,-33.203,-309.570,45.410,-56.152,118746.847
1686016982.428,-23.438,255.371,207.520,-47.852,118746.851
1686016982.432,-18.555,79.590,73.730,-31.738,118746.854
1686016982.436,-28.809,-43.945,89.844,-39.551,118746.858
1686016982.437,-36.621,-234.863,-23.438,-47.852,118746.858
1686016982.441,-13.672,-35.156,104.980,-37.598,118746.862
1686016982.445,-7.812,-152.832,60.547,-20.020,118746.866
1686016982.449,-15.137,-475.586,-44.434,-17.578,118746.870
1686016982.453,-13.184,-273.438,35.645,-34.180,118746.874
1686016982.457,-16.602,-176.270,58.594,-32.227,118746.878
1686016982.460,-16.113,-448.730,-55.664,-2.930,118746.882
1686016982.464,-20.996,-840.820,-145.996,4.883,118746.886
1686016982.468,-42.480,-126.953,162.598,-26.855,118746.890
1686016982.472,-45.410,191.895,156.738,-39.062,118746.894
1686016982.476,-28.320,-153.809,27.832,-12.207,118746.897
1686016982.480,-14.160,141.113,157.227,6.836,118746.901
1686016982.482,-33.203,304.688,149.902,-20.996,118746.932
1686016982.486,-48.340,-16.602,0.488,-44.922,118746.936
1686016982.490,-31.250,-208.984,1.465,-36.133,118746.940
1686016982.494,-29.785,149.414,153.809,-34.180,118746.944
1686016982.498,-29.297,281.738,112.305,-41.992,118746.947
1686016982.502,-16.602,-260.742,-171.387,-45.410,118746.951
1686016982.505,-20.508,-896.484,-316.895,-35.645,118746.955
1686016982.509,-24.902,-390.625,104.492,-29.785,118746.959
1686016982.513,-28.809,315.918,267.090,-35.156,118746.963
1686016982.517,-32.715,-69.824,-61.035,-45.410,118746.967
1686016982.521,-34.668,-461.426,-87.402,-49.316,118746.971
1686016982.525,-32.227,-66.895,143.555,-34.668,118746.975
